Código comuna,Comuna,Area
15101,arica,4799.0
15102,camarones,3927.0
15201,putre,5903.0
15202,general lagos,2244.0
1101,iquique,2262.0
1107,alto hospicio,573.0
1401,pozo almonte,13766.0
1402,camiña,2200.0
1403,colchane,4016.0
1404,huara,10475.0
1405,pica,8934.0
2101,antofagasta,30718.0
2102,mejillones,3804.0
2103,sierra gorda,12886.0
2104,taltal,20405.0
2201,calama,15597.0
2202,ollagüe,2964.0
2203,san pedro de atacama,23439.0
2301,tocopilla,4039.0
2302,maría elena,12197.0
3101,copiapó,16681.0
3102,caldera,4667.0
3103,tierra amarilla,11191.0
3201,chañaral,5772.0
3202,diego de almagro,18664.0
3301,vallenar,7084.0
3302,alto del carmen,5939.0
3303,freirina,3578.0
3304,huasco,1601.0
4101,la serena,1893.0
4102,coquimbo,1429.0
4103,andacollo,310.0
4104,la higuera,4158.0
4105,paiguano,1495.0
4106,vicuña,7610.0
4201,illapel,2629.0
4202,canela,2197.0
4203,los vilos,1861.0
4204,salamanca,3445.0
4301,ovalle,3835.0
4302,combarbalá,1896.0
4303,monte patria,4366.0
4304,punitaqui,1339.0
4305,río hurtado,2117.0
5101,valparaíso,402.0
5102,casablanca,953.0
5103,concón,76.0
5104,juan fernández,148.0
5105,puchuncaví,300.0
5107,quintero,148.0
5109,viña del mar,122.0
5201,isla de pascua,164.0
5301,los andes,1248.0
5302,calle larga,322.0
5303,rinconada,123.0
5304,san esteban,1362.0
5401,la ligua,1163.0
5402,cabildo,1455.0
5403,papudo,166.0
5404,petorca,1517.0
5405,zapallar,288.0
5501,quillota,302.0
5502,calera,61.0
5503,hijuelas,267.0
5504,la cruz,78.0
5506,nogales,405.0
5601,san antonio,405.0
5602,algarrobo,176.0
5603,cartagena,246.0
5604,el quisco,51.0
5605,el tabo,99.0
5606,santo domingo,536.0
5701,san felipe,186.0
5702,catemu,362.0
5703,llaillay,349.0
5704,panquehue,122.0
5705,putaendo,1474.0
5706,santa maría,166.0
5801,quilpué,537.0
