estrato,region,r1a,r1a_esp,r1a_esp_cod,s13,s13_fonasa
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,3.0
1630324,16,1,,,1,1.0
1630324,16,1,,,1,-88.0
1630324,16,1,,,1,1.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,1.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,4.0
830126,8,1,,,1,2.0
830126,8,1,,,1,2.0
830126,8,1,,,1,2.0
830126,8,1,,,1,2.0
830126,8,1,,,1,2.0
830126,8,1,,,1,3.0
830126,8,1,,,1,3.0
830126,8,1,,,1,1.0
830126,8,1,,,1,1.0
830126,8,1,,,1,-88.0
830126,8,1,,,1,1.0
830126,8,1,,,1,1.0
830126,8,1,,,1,2.0
830126,8,1,,,1,2.0
830126,8,1,,,1,1.0
830126,8,1,,,1,2.0
830126,8,1,,,1,1.0
830126,8,1,,,1,2.0
830126,8,1,,,1,1.0
830126,8,1,,,1,2.0
830126,8,1,,,1,1.0
830126,8,1,,,1,1.0
830126,8,1,,,1,1.0
830126,8,1,,,1,2.0
830126,8,1,,,1,3.0
830126,8,1,,,1,1.0
830126,8,1,,,1,1.0
1311112,13,3,Perú,509.0,1,2.0
1311112,13,3,Perú,509.0,1,-88.0
1311112,13,3,Perú,509.0,1,-88.0
1311112,13,3,Perú,509.0,1,2.0
1311112,13,3,Perú,509.0,1,2.0
1311112,13,1,,,-88,
1311112,13,1,,,1,-88.0
1311112,13,1,,,1,-88.0
1311112,13,1,,,1,-88.0
1311112,13,1,,,1,4.0
1311112,13,1,,,1,-88.0
1311112,13,1,,,1,-88.0
1311112,13,1,,,1,4.0
