Código región,Región,Código provincia,Provincia,Codigo comuna,Comuna,País o continente de nacimiento,Inmigrantes internacionales
10,Los Lagos,101.0,Llanquihue,10101.0,Puerto Montt,Total nacidos fuera del país,18588
10,Los Lagos,101.0,Llanquihue,10101.0,Puerto Montt,Argentina,1602
10,Los Lagos,101.0,Llanquihue,10101.0,Puerto Montt,Bolivia (Estado Plurinacional de),114
10,Los Lagos,101.0,Llanquihue,10101.0,Puerto Montt,Colombia,1967
10,Los Lagos,101.0,Llanquihue,10101.0,Puerto Montt,Haití,613
10,Los Lagos,101.0,Llanquihue,10101.0,Puerto Montt,Perú,487
10,Los Lagos,101.0,Llanquihue,10101.0,Puerto Montt,Venezuela (República Bolivariana de),12460
10,Los Lagos,101.0,Llanquihue,10101.0,Puerto Montt,Otros países de América del Sur,573
10,Los Lagos,101.0,Llanquihue,10101.0,Puerto Montt,Otros países de América Central y El Caribe,266
10,Los Lagos,101.0,Llanquihue,10101.0,Puerto Montt,América del Norte,73
10,Los Lagos,101.0,Llanquihue,10101.0,Puerto Montt,Europa,227
10,Los Lagos,101.0,Llanquihue,10101.0,Puerto Montt,Asia,170
10,Los Lagos,101.0,Llanquihue,10101.0,Puerto Montt,África,*
10,Los Lagos,101.0,Llanquihue,10101.0,Puerto Montt,Oceanía,*
10,Los Lagos,101.0,Llanquihue,10101.0,Puerto Montt,País de nacimiento no declarado,11
10,Los Lagos,101.0,Llanquihue,10102.0,Calbuco,Total nacidos fuera del país,956
10,Los Lagos,101.0,Llanquihue,10102.0,Calbuco,Argentina,231
10,Los Lagos,101.0,Llanquihue,10102.0,Calbuco,Bolivia (Estado Plurinacional de),*
10,Los Lagos,101.0,Llanquihue,10102.0,Calbuco,Colombia,84
10,Los Lagos,101.0,Llanquihue,10102.0,Calbuco,Haití,*
10,Los Lagos,101.0,Llanquihue,10102.0,Calbuco,Perú,*
10,Los Lagos,101.0,Llanquihue,10102.0,Calbuco,Venezuela (República Bolivariana de),495
10,Los Lagos,101.0,Llanquihue,10102.0,Calbuco,Otros países de América del Sur,*
10,Los Lagos,101.0,Llanquihue,10102.0,Calbuco,Otros países de América Central y El Caribe,*
10,Los Lagos,101.0,Llanquihue,10102.0,Calbuco,América del Norte,*
10,Los Lagos,101.0,Llanquihue,10102.0,Calbuco,Europa,*
10,Los Lagos,101.0,Llanquihue,10102.0,Calbuco,Asia,*
10,Los Lagos,101.0,Llanquihue,10102.0,Calbuco,África,*
10,Los Lagos,101.0,Llanquihue,10102.0,Calbuco,Oceanía,0
10,Los Lagos,101.0,Llanquihue,10102.0,Calbuco,País de nacimiento no declarado,0
