Código región,Región,Código provincia,Provincia,Codigo comuna,Comuna,País o continente de nacimiento,Inmigrantes internacionales
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11101.0,Coyhaique,Total nacidos fuera del país,2505
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11101.0,Coyhaique,Argentina,641
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11101.0,Coyhaique,Bolivia (Estado Plurinacional de),*
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11101.0,Coyhaique,Colombia,563
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11101.0,Coyhaique,Haití,*
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11101.0,Coyhaique,Perú,81
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11101.0,Coyhaique,Venezuela (República Bolivariana de),810
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11101.0,Coyhaique,Otros países de América del Sur,118
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11101.0,Coyhaique,Otros países de América Central y El Caribe,83
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11101.0,Coyhaique,América del Norte,*
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11101.0,Coyhaique,Europa,96
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11101.0,Coyhaique,Asia,*
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11101.0,Coyhaique,África,*
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11101.0,Coyhaique,Oceanía,*
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11101.0,Coyhaique,País de nacimiento no declarado,3
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11102.0,Lago Verde,Total nacidos fuera del país,*
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11102.0,Lago Verde,Argentina,*
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11102.0,Lago Verde,Bolivia (Estado Plurinacional de),*
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11102.0,Lago Verde,Colombia,*
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11102.0,Lago Verde,Haití,0
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11102.0,Lago Verde,Perú,*
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11102.0,Lago Verde,Venezuela (República Bolivariana de),*
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11102.0,Lago Verde,Otros países de América del Sur,0
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11102.0,Lago Verde,Otros países de América Central y El Caribe,0
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11102.0,Lago Verde,América del Norte,*
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11102.0,Lago Verde,Europa,*
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11102.0,Lago Verde,Asia,0
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11102.0,Lago Verde,África,0
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11102.0,Lago Verde,Oceanía,0
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11102.0,Lago Verde,País de nacimiento no declarado,0
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11201.0,Aysén,Total nacidos fuera del país,727
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11201.0,Aysén,Argentina,190
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11201.0,Aysén,Bolivia (Estado Plurinacional de),*
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11201.0,Aysén,Colombia,196
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11201.0,Aysén,Haití,*
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11201.0,Aysén,Perú,*
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11201.0,Aysén,Venezuela (República Bolivariana de),149
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11201.0,Aysén,Otros países de América del Sur,*
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11201.0,Aysén,Otros países de América Central y El Caribe,*
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11201.0,Aysén,América del Norte,*
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11201.0,Aysén,Europa,*
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11201.0,Aysén,Asia,*
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11201.0,Aysén,África,0
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11201.0,Aysén,Oceanía,*
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11201.0,Aysén,País de nacimiento no declarado,1
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11202.0,Cisnes,Total nacidos fuera del país,129
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11202.0,Cisnes,Argentina,*
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11202.0,Cisnes,Bolivia (Estado Plurinacional de),*
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11202.0,Cisnes,Colombia,*
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11202.0,Cisnes,Haití,*
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11202.0,Cisnes,Perú,*
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11202.0,Cisnes,Venezuela (República Bolivariana de),*
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11202.0,Cisnes,Otros países de América del Sur,*
