Código región,Región,Código provincia,Provincia,Codigo comuna,Comuna,País o continente de nacimiento,Inmigrantes internacionales
14,Los Ríos,141.0,Valdivia,14101.0,Valdivia,Total nacidos fuera del país,5099
14,Los Ríos,141.0,Valdivia,14101.0,Valdivia,Argentina,712
14,Los Ríos,141.0,Valdivia,14101.0,Valdivia,Bolivia (Estado Plurinacional de),107
14,Los Ríos,141.0,Valdivia,14101.0,Valdivia,Colombia,612
14,Los Ríos,141.0,Valdivia,14101.0,Valdivia,Haití,347
14,Los Ríos,141.0,Valdivia,14101.0,Valdivia,Perú,128
14,Los Ríos,141.0,Valdivia,14101.0,Valdivia,Venezuela (República Bolivariana de),2035
14,Los Ríos,141.0,Valdivia,14101.0,Valdivia,Otros países de América del Sur,279
14,Los Ríos,141.0,Valdivia,14101.0,Valdivia,Otros países de América Central y El Caribe,193
14,Los Ríos,141.0,Valdivia,14101.0,Valdivia,América del Norte,98
14,Los Ríos,141.0,Valdivia,14101.0,Valdivia,Europa,471
14,Los Ríos,141.0,Valdivia,14101.0,Valdivia,Asia,88
14,Los Ríos,141.0,Valdivia,14101.0,Valdivia,África,*
14,Los Ríos,141.0,Valdivia,14101.0,Valdivia,Oceanía,*
14,Los Ríos,141.0,Valdivia,14101.0,Valdivia,País de nacimiento no declarado,2
14,Los Ríos,141.0,Valdivia,14102.0,Corral,Total nacidos fuera del país,52
14,Los Ríos,141.0,Valdivia,14102.0,Corral,Argentina,*
14,Los Ríos,141.0,Valdivia,14102.0,Corral,Bolivia (Estado Plurinacional de),*
14,Los Ríos,141.0,Valdivia,14102.0,Corral,Colombia,*
14,Los Ríos,141.0,Valdivia,14102.0,Corral,Haití,0
14,Los Ríos,141.0,Valdivia,14102.0,Corral,Perú,*
14,Los Ríos,141.0,Valdivia,14102.0,Corral,Venezuela (República Bolivariana de),*
14,Los Ríos,141.0,Valdivia,14102.0,Corral,Otros países de América del Sur,*
14,Los Ríos,141.0,Valdivia,14102.0,Corral,Otros países de América Central y El Caribe,*
14,Los Ríos,141.0,Valdivia,14102.0,Corral,América del Norte,*
14,Los Ríos,141.0,Valdivia,14102.0,Corral,Europa,*
14,Los Ríos,141.0,Valdivia,14102.0,Corral,Asia,*
14,Los Ríos,141.0,Valdivia,14102.0,Corral,África,0
14,Los Ríos,141.0,Valdivia,14102.0,Corral,Oceanía,0
14,Los Ríos,141.0,Valdivia,14102.0,Corral,País de nacimiento no declarado,0
14,Los Ríos,141.0,Valdivia,14103.0,Lanco,Total nacidos fuera del país,140
14,Los Ríos,141.0,Valdivia,14103.0,Lanco,Argentina,73
14,Los Ríos,141.0,Valdivia,14103.0,Lanco,Bolivia (Estado Plurinacional de),*
14,Los Ríos,141.0,Valdivia,14103.0,Lanco,Colombia,*
14,Los Ríos,141.0,Valdivia,14103.0,Lanco,Haití,*
14,Los Ríos,141.0,Valdivia,14103.0,Lanco,Perú,*
14,Los Ríos,141.0,Valdivia,14103.0,Lanco,Venezuela (República Bolivariana de),*
14,Los Ríos,141.0,Valdivia,14103.0,Lanco,Otros países de América del Sur,*
14,Los Ríos,141.0,Valdivia,14103.0,Lanco,Otros países de América Central y El Caribe,*
14,Los Ríos,141.0,Valdivia,14103.0,Lanco,América del Norte,*
14,Los Ríos,141.0,Valdivia,14103.0,Lanco,Europa,*
14,Los Ríos,141.0,Valdivia,14103.0,Lanco,Asia,*
14,Los Ríos,141.0,Valdivia,14103.0,Lanco,África,0
14,Los Ríos,141.0,Valdivia,14103.0,Lanco,Oceanía,0
14,Los Ríos,141.0,Valdivia,14103.0,Lanco,País de nacimiento no declarado,0
14,Los Ríos,141.0,Valdivia,14104.0,Los Lagos,Total nacidos fuera del país,258
14,Los Ríos,141.0,Valdivia,14104.0,Los Lagos,Argentina,66
14,Los Ríos,141.0,Valdivia,14104.0,Los Lagos,Bolivia (Estado Plurinacional de),*
14,Los Ríos,141.0,Valdivia,14104.0,Los Lagos,Colombia,*
14,Los Ríos,141.0,Valdivia,14104.0,Los Lagos,Haití,*
14,Los Ríos,141.0,Valdivia,14104.0,Los Lagos,Perú,*
14,Los Ríos,141.0,Valdivia,14104.0,Los Lagos,Venezuela (República Bolivariana de),70
14,Los Ríos,141.0,Valdivia,14104.0,Los Lagos,Otros países de América del Sur,*
14,Los Ríos,141.0,Valdivia,14104.0,Los Lagos,Otros países de América Central y El Caribe,*
14,Los Ríos,141.0,Valdivia,14104.0,Los Lagos,América del Norte,*
14,Los Ríos,141.0,Valdivia,14104.0,Los Lagos,Europa,*
14,Los Ríos,141.0,Valdivia,14104.0,Los Lagos,Asia,*
14,Los Ríos,141.0,Valdivia,14104.0,Los Lagos,África,0
14,Los Ríos,141.0,Valdivia,14104.0,Los Lagos,Oceanía,*
14,Los Ríos,141.0,Valdivia,14104.0,Los Lagos,País de nacimiento no declarado,0
14,Los Ríos,141.0,Valdivia,14105.0,Máfil,Total nacidos fuera del país,77
14,Los Ríos,141.0,Valdivia,14105.0,Máfil,Argentina,*
14,Los Ríos,141.0,Valdivia,14105.0,Máfil,Bolivia (Estado Plurinacional de),*
14,Los Ríos,141.0,Valdivia,14105.0,Máfil,Colombia,*
14,Los Ríos,141.0,Valdivia,14105.0,Máfil,Haití,*
14,Los Ríos,141.0,Valdivia,14105.0,Máfil,Perú,*
14,Los Ríos,141.0,Valdivia,14105.0,Máfil,Venezuela (República Bolivariana de),*
14,Los Ríos,141.0,Valdivia,14105.0,Máfil,Otros países de América del Sur,*
14,Los Ríos,141.0,Valdivia,14105.0,Máfil,Otros países de América Central y El Caribe,*
14,Los Ríos,141.0,Valdivia,14105.0,Máfil,América del Norte,0
14,Los Ríos,141.0,Valdivia,14105.0,Máfil,Europa,*
14,Los Ríos,141.0,Valdivia,14105.0,Máfil,Asia,0
14,Los Ríos,141.0,Valdivia,14105.0,Máfil,África,0
14,Los Ríos,141.0,Valdivia,14105.0,Máfil,Oceanía,0
14,Los Ríos,141.0,Valdivia,14105.0,Máfil,País de nacimiento no declarado,0
14,Los Ríos,141.0,Valdivia,14106.0,Mariquina,Total nacidos fuera del país,212
14,Los Ríos,141.0,Valdivia,14106.0,Mariquina,Argentina,85
14,Los Ríos,141.0,Valdivia,14106.0,Mariquina,Bolivia (Estado Plurinacional de),*
14,Los Ríos,141.0,Valdivia,14106.0,Mariquina,Colombia,*
14,Los Ríos,141.0,Valdivia,14106.0,Mariquina,Haití,*
14,Los Ríos,141.0,Valdivia,14106.0,Mariquina,Perú,*
14,Los Ríos,141.0,Valdivia,14106.0,Mariquina,Venezuela (República Bolivariana de),61
14,Los Ríos,141.0,Valdivia,14106.0,Mariquina,Otros países de América del Sur,*
14,Los Ríos,141.0,Valdivia,14106.0,Mariquina,Otros países de América Central y El Caribe,*
14,Los Ríos,141.0,Valdivia,14106.0,Mariquina,América del Norte,*
14,Los Ríos,141.0,Valdivia,14106.0,Mariquina,Europa,*
14,Los Ríos,141.0,Valdivia,14106.0,Mariquina,Asia,*
14,Los Ríos,141.0,Valdivia,14106.0,Mariquina,África,*
14,Los Ríos,141.0,Valdivia,14106.0,Mariquina,Oceanía,*
14,Los Ríos,141.0,Valdivia,14106.0,Mariquina,País de nacimiento no declarado,0
14,Los Ríos,141.0,Valdivia,14107.0,Paillaco,Total nacidos fuera del país,222
14,Los Ríos,141.0,Valdivia,14107.0,Paillaco,Argentina,54
14,Los Ríos,141.0,Valdivia,14107.0,Paillaco,Bolivia (Estado Plurinacional de),*
14,Los Ríos,141.0,Valdivia,14107.0,Paillaco,Colombia,*
14,Los Ríos,141.0,Valdivia,14107.0,Paillaco,Haití,*
14,Los Ríos,141.0,Valdivia,14107.0,Paillaco,Perú,*
14,Los Ríos,141.0,Valdivia,14107.0,Paillaco,Venezuela (República Bolivariana de),108
14,Los Ríos,141.0,Valdivia,14107.0,Paillaco,Otros países de América del Sur,*
