Código región,Región,Código provincia,Provincia,Codigo comuna,Comuna,País o continente de nacimiento,Inmigrantes internacionales
15,Arica y Parinacota,151.0,Arica,15101.0,Arica,Total nacidos fuera del país,35592
15,Arica y Parinacota,151.0,Arica,15101.0,Arica,Argentina,341
15,Arica y Parinacota,151.0,Arica,15101.0,Arica,Bolivia (Estado Plurinacional de),13677
15,Arica y Parinacota,151.0,Arica,15101.0,Arica,Colombia,1968
15,Arica y Parinacota,151.0,Arica,15101.0,Arica,Haití,*
15,Arica y Parinacota,151.0,Arica,15101.0,Arica,Perú,11206
15,Arica y Parinacota,151.0,Arica,15101.0,Arica,Venezuela (República Bolivariana de),6597
15,Arica y Parinacota,151.0,Arica,15101.0,Arica,Otros países de América del Sur,897
15,Arica y Parinacota,151.0,Arica,15101.0,Arica,Otros países de América Central y El Caribe,467
15,Arica y Parinacota,151.0,Arica,15101.0,Arica,América del Norte,67
15,Arica y Parinacota,151.0,Arica,15101.0,Arica,Europa,236
15,Arica y Parinacota,151.0,Arica,15101.0,Arica,Asia,80
15,Arica y Parinacota,151.0,Arica,15101.0,Arica,África,*
15,Arica y Parinacota,151.0,Arica,15101.0,Arica,Oceanía,*
15,Arica y Parinacota,151.0,Arica,15101.0,Arica,País de nacimiento no declarado,15
15,Arica y Parinacota,151.0,Arica,15102.0,Camarones,Total nacidos fuera del país,101
15,Arica y Parinacota,151.0,Arica,15102.0,Camarones,Argentina,0
15,Arica y Parinacota,151.0,Arica,15102.0,Camarones,Bolivia (Estado Plurinacional de),70
15,Arica y Parinacota,151.0,Arica,15102.0,Camarones,Colombia,*
15,Arica y Parinacota,151.0,Arica,15102.0,Camarones,Haití,0
15,Arica y Parinacota,151.0,Arica,15102.0,Camarones,Perú,*
15,Arica y Parinacota,151.0,Arica,15102.0,Camarones,Venezuela (República Bolivariana de),*
15,Arica y Parinacota,151.0,Arica,15102.0,Camarones,Otros países de América del Sur,0
15,Arica y Parinacota,151.0,Arica,15102.0,Camarones,Otros países de América Central y El Caribe,*
15,Arica y Parinacota,151.0,Arica,15102.0,Camarones,América del Norte,*
15,Arica y Parinacota,151.0,Arica,15102.0,Camarones,Europa,0
15,Arica y Parinacota,151.0,Arica,15102.0,Camarones,Asia,0
15,Arica y Parinacota,151.0,Arica,15102.0,Camarones,África,0
15,Arica y Parinacota,151.0,Arica,15102.0,Camarones,Oceanía,0
15,Arica y Parinacota,151.0,Arica,15102.0,Camarones,País de nacimiento no declarado,0
15,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,Total nacidos fuera del país,362
15,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,Argentina,*
15,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,Bolivia (Estado Plurinacional de),307
15,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,Colombia,0
15,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,Haití,0
15,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,Perú,*
15,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,Venezuela (República Bolivariana de),*
15,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,Otros países de América del Sur,0
15,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,Otros países de América Central y El Caribe,0
15,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,América del Norte,0
15,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,Europa,0
15,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,Asia,0
15,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,África,0
15,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,Oceanía,*
15,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,País de nacimiento no declarado,1
15,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,Total nacidos fuera del país,133
15,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,Argentina,0
15,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,Bolivia (Estado Plurinacional de),111
15,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,Colombia,0
15,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,Haití,0
15,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,Perú,*
15,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,Venezuela (República Bolivariana de),0
15,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,Otros países de América del Sur,*
15,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,Otros países de América Central y El Caribe,0
15,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,América del Norte,0
15,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,Europa,0
15,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,Asia,0
15,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,África,0
15,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,Oceanía,0
15,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,País de nacimiento no declarado,0
