Código región,Región,Código provincia,Provincia,Codigo comuna,Comuna,País o continente de nacimiento,Inmigrantes internacionales
16,Ñuble,161.0,Diguillín,16101.0,Chillán,Total nacidos fuera del país,6928
16,Ñuble,161.0,Diguillín,16101.0,Chillán,Argentina,401
16,Ñuble,161.0,Diguillín,16101.0,Chillán,Bolivia (Estado Plurinacional de),140
16,Ñuble,161.0,Diguillín,16101.0,Chillán,Colombia,644
16,Ñuble,161.0,Diguillín,16101.0,Chillán,Haití,375
16,Ñuble,161.0,Diguillín,16101.0,Chillán,Perú,316
16,Ñuble,161.0,Diguillín,16101.0,Chillán,Venezuela (República Bolivariana de),4022
16,Ñuble,161.0,Diguillín,16101.0,Chillán,Otros países de América del Sur,400
16,Ñuble,161.0,Diguillín,16101.0,Chillán,Otros países de América Central y El Caribe,276
16,Ñuble,161.0,Diguillín,16101.0,Chillán,América del Norte,61
16,Ñuble,161.0,Diguillín,16101.0,Chillán,Europa,183
16,Ñuble,161.0,Diguillín,16101.0,Chillán,Asia,69
16,Ñuble,161.0,Diguillín,16101.0,Chillán,África,*
16,Ñuble,161.0,Diguillín,16101.0,Chillán,Oceanía,*
16,Ñuble,161.0,Diguillín,16101.0,Chillán,País de nacimiento no declarado,17
16,Ñuble,161.0,Diguillín,16102.0,Bulnes,Total nacidos fuera del país,257
16,Ñuble,161.0,Diguillín,16102.0,Bulnes,Argentina,*
16,Ñuble,161.0,Diguillín,16102.0,Bulnes,Bolivia (Estado Plurinacional de),*
16,Ñuble,161.0,Diguillín,16102.0,Bulnes,Colombia,*
16,Ñuble,161.0,Diguillín,16102.0,Bulnes,Haití,*
16,Ñuble,161.0,Diguillín,16102.0,Bulnes,Perú,*
16,Ñuble,161.0,Diguillín,16102.0,Bulnes,Venezuela (República Bolivariana de),84
16,Ñuble,161.0,Diguillín,16102.0,Bulnes,Otros países de América del Sur,*
16,Ñuble,161.0,Diguillín,16102.0,Bulnes,Otros países de América Central y El Caribe,*
16,Ñuble,161.0,Diguillín,16102.0,Bulnes,América del Norte,*
16,Ñuble,161.0,Diguillín,16102.0,Bulnes,Europa,*
16,Ñuble,161.0,Diguillín,16102.0,Bulnes,Asia,*
16,Ñuble,161.0,Diguillín,16102.0,Bulnes,África,0
16,Ñuble,161.0,Diguillín,16102.0,Bulnes,Oceanía,*
16,Ñuble,161.0,Diguillín,16102.0,Bulnes,País de nacimiento no declarado,0
16,Ñuble,161.0,Diguillín,16103.0,Chillán Viejo,Total nacidos fuera del país,792
16,Ñuble,161.0,Diguillín,16103.0,Chillán Viejo,Argentina,64
16,Ñuble,161.0,Diguillín,16103.0,Chillán Viejo,Bolivia (Estado Plurinacional de),*
16,Ñuble,161.0,Diguillín,16103.0,Chillán Viejo,Colombia,67
16,Ñuble,161.0,Diguillín,16103.0,Chillán Viejo,Haití,*
16,Ñuble,161.0,Diguillín,16103.0,Chillán Viejo,Perú,*
16,Ñuble,161.0,Diguillín,16103.0,Chillán Viejo,Venezuela (República Bolivariana de),500
16,Ñuble,161.0,Diguillín,16103.0,Chillán Viejo,Otros países de América del Sur,*
16,Ñuble,161.0,Diguillín,16103.0,Chillán Viejo,Otros países de América Central y El Caribe,*
16,Ñuble,161.0,Diguillín,16103.0,Chillán Viejo,América del Norte,*
16,Ñuble,161.0,Diguillín,16103.0,Chillán Viejo,Europa,*
16,Ñuble,161.0,Diguillín,16103.0,Chillán Viejo,Asia,*
16,Ñuble,161.0,Diguillín,16103.0,Chillán Viejo,África,0
16,Ñuble,161.0,Diguillín,16103.0,Chillán Viejo,Oceanía,*
16,Ñuble,161.0,Diguillín,16103.0,Chillán Viejo,País de nacimiento no declarado,1
16,Ñuble,161.0,Diguillín,16104.0,El Carmen,Total nacidos fuera del país,103
16,Ñuble,161.0,Diguillín,16104.0,El Carmen,Argentina,*
16,Ñuble,161.0,Diguillín,16104.0,El Carmen,Bolivia (Estado Plurinacional de),*
16,Ñuble,161.0,Diguillín,16104.0,El Carmen,Colombia,*
16,Ñuble,161.0,Diguillín,16104.0,El Carmen,Haití,0
16,Ñuble,161.0,Diguillín,16104.0,El Carmen,Perú,*
16,Ñuble,161.0,Diguillín,16104.0,El Carmen,Venezuela (República Bolivariana de),*
16,Ñuble,161.0,Diguillín,16104.0,El Carmen,Otros países de América del Sur,*
16,Ñuble,161.0,Diguillín,16104.0,El Carmen,Otros países de América Central y El Caribe,0
16,Ñuble,161.0,Diguillín,16104.0,El Carmen,América del Norte,*
16,Ñuble,161.0,Diguillín,16104.0,El Carmen,Europa,*
16,Ñuble,161.0,Diguillín,16104.0,El Carmen,Asia,0
16,Ñuble,161.0,Diguillín,16104.0,El Carmen,África,0
16,Ñuble,161.0,Diguillín,16104.0,El Carmen,Oceanía,0
16,Ñuble,161.0,Diguillín,16104.0,El Carmen,País de nacimiento no declarado,0
16,Ñuble,161.0,Diguillín,16105.0,Pemuco,Total nacidos fuera del país,*
16,Ñuble,161.0,Diguillín,16105.0,Pemuco,Argentina,*
16,Ñuble,161.0,Diguillín,16105.0,Pemuco,Bolivia (Estado Plurinacional de),0
16,Ñuble,161.0,Diguillín,16105.0,Pemuco,Colombia,*
16,Ñuble,161.0,Diguillín,16105.0,Pemuco,Haití,*
16,Ñuble,161.0,Diguillín,16105.0,Pemuco,Perú,*
16,Ñuble,161.0,Diguillín,16105.0,Pemuco,Venezuela (República Bolivariana de),*
16,Ñuble,161.0,Diguillín,16105.0,Pemuco,Otros países de América del Sur,*
16,Ñuble,161.0,Diguillín,16105.0,Pemuco,Otros países de América Central y El Caribe,*
16,Ñuble,161.0,Diguillín,16105.0,Pemuco,América del Norte,0
16,Ñuble,161.0,Diguillín,16105.0,Pemuco,Europa,*
16,Ñuble,161.0,Diguillín,16105.0,Pemuco,Asia,*
16,Ñuble,161.0,Diguillín,16105.0,Pemuco,África,0
16,Ñuble,161.0,Diguillín,16105.0,Pemuco,Oceanía,0
16,Ñuble,161.0,Diguillín,16105.0,Pemuco,País de nacimiento no declarado,0
16,Ñuble,161.0,Diguillín,16106.0,Pinto,Total nacidos fuera del país,212
16,Ñuble,161.0,Diguillín,16106.0,Pinto,Argentina,*
16,Ñuble,161.0,Diguillín,16106.0,Pinto,Bolivia (Estado Plurinacional de),*
16,Ñuble,161.0,Diguillín,16106.0,Pinto,Colombia,*
16,Ñuble,161.0,Diguillín,16106.0,Pinto,Haití,*
16,Ñuble,161.0,Diguillín,16106.0,Pinto,Perú,*
16,Ñuble,161.0,Diguillín,16106.0,Pinto,Venezuela (República Bolivariana de),*
16,Ñuble,161.0,Diguillín,16106.0,Pinto,Otros países de América del Sur,*
16,Ñuble,161.0,Diguillín,16106.0,Pinto,Otros países de América Central y El Caribe,*
16,Ñuble,161.0,Diguillín,16106.0,Pinto,América del Norte,*
16,Ñuble,161.0,Diguillín,16106.0,Pinto,Europa,*
16,Ñuble,161.0,Diguillín,16106.0,Pinto,Asia,*
16,Ñuble,161.0,Diguillín,16106.0,Pinto,África,0
16,Ñuble,161.0,Diguillín,16106.0,Pinto,Oceanía,*
16,Ñuble,161.0,Diguillín,16106.0,Pinto,País de nacimiento no declarado,1
16,Ñuble,161.0,Diguillín,16107.0,Quillón,Total nacidos fuera del país,424
16,Ñuble,161.0,Diguillín,16107.0,Quillón,Argentina,*
16,Ñuble,161.0,Diguillín,16107.0,Quillón,Bolivia (Estado Plurinacional de),*
16,Ñuble,161.0,Diguillín,16107.0,Quillón,Colombia,*
16,Ñuble,161.0,Diguillín,16107.0,Quillón,Haití,*
16,Ñuble,161.0,Diguillín,16107.0,Quillón,Perú,*
16,Ñuble,161.0,Diguillín,16107.0,Quillón,Venezuela (República Bolivariana de),244
16,Ñuble,161.0,Diguillín,16107.0,Quillón,Otros países de América del Sur,*
16,Ñuble,161.0,Diguillín,16107.0,Quillón,Otros países de América Central y El Caribe,*
16,Ñuble,161.0,Diguillín,16107.0,Quillón,América del Norte,*
16,Ñuble,161.0,Diguillín,16107.0,Quillón,Europa,*
16,Ñuble,161.0,Diguillín,16107.0,Quillón,Asia,*
16,Ñuble,161.0,Diguillín,16107.0,Quillón,África,0
16,Ñuble,161.0,Diguillín,16107.0,Quillón,Oceanía,*
16,Ñuble,161.0,Diguillín,16107.0,Quillón,País de nacimiento no declarado,2
16,Ñuble,161.0,Diguillín,16108.0,San Ignacio,Total nacidos fuera del país,114
16,Ñuble,161.0,Diguillín,16108.0,San Ignacio,Argentina,*
16,Ñuble,161.0,Diguillín,16108.0,San Ignacio,Bolivia (Estado Plurinacional de),*
16,Ñuble,161.0,Diguillín,16108.0,San Ignacio,Colombia,*
16,Ñuble,161.0,Diguillín,16108.0,San Ignacio,Haití,*
16,Ñuble,161.0,Diguillín,16108.0,San Ignacio,Perú,*
16,Ñuble,161.0,Diguillín,16108.0,San Ignacio,Venezuela (República Bolivariana de),*
16,Ñuble,161.0,Diguillín,16108.0,San Ignacio,Otros países de América del Sur,*
16,Ñuble,161.0,Diguillín,16108.0,San Ignacio,Otros países de América Central y El Caribe,*
16,Ñuble,161.0,Diguillín,16108.0,San Ignacio,América del Norte,*
16,Ñuble,161.0,Diguillín,16108.0,San Ignacio,Europa,*
16,Ñuble,161.0,Diguillín,16108.0,San Ignacio,Asia,0
16,Ñuble,161.0,Diguillín,16108.0,San Ignacio,África,0
16,Ñuble,161.0,Diguillín,16108.0,San Ignacio,Oceanía,0
16,Ñuble,161.0,Diguillín,16108.0,San Ignacio,País de nacimiento no declarado,4
16,Ñuble,161.0,Diguillín,16109.0,Yungay,Total nacidos fuera del país,171
16,Ñuble,161.0,Diguillín,16109.0,Yungay,Argentina,*
16,Ñuble,161.0,Diguillín,16109.0,Yungay,Bolivia (Estado Plurinacional de),*
16,Ñuble,161.0,Diguillín,16109.0,Yungay,Colombia,*
16,Ñuble,161.0,Diguillín,16109.0,Yungay,Haití,*
16,Ñuble,161.0,Diguillín,16109.0,Yungay,Perú,*
16,Ñuble,161.0,Diguillín,16109.0,Yungay,Venezuela (República Bolivariana de),64
16,Ñuble,161.0,Diguillín,16109.0,Yungay,Otros países de América del Sur,*
16,Ñuble,161.0,Diguillín,16109.0,Yungay,Otros países de América Central y El Caribe,*
16,Ñuble,161.0,Diguillín,16109.0,Yungay,América del Norte,*
16,Ñuble,161.0,Diguillín,16109.0,Yungay,Europa,*
16,Ñuble,161.0,Diguillín,16109.0,Yungay,Asia,*
16,Ñuble,161.0,Diguillín,16109.0,Yungay,África,0
16,Ñuble,161.0,Diguillín,16109.0,Yungay,Oceanía,*
16,Ñuble,161.0,Diguillín,16109.0,Yungay,País de nacimiento no declarado,0
16,Ñuble,162.0,Itata,16201.0,Quirihue,Total nacidos fuera del país,72
16,Ñuble,162.0,Itata,16201.0,Quirihue,Argentina,*
16,Ñuble,162.0,Itata,16201.0,Quirihue,Bolivia (Estado Plurinacional de),*
16,Ñuble,162.0,Itata,16201.0,Quirihue,Colombia,*
16,Ñuble,162.0,Itata,16201.0,Quirihue,Haití,*
16,Ñuble,162.0,Itata,16201.0,Quirihue,Perú,*
16,Ñuble,162.0,Itata,16201.0,Quirihue,Venezuela (República Bolivariana de),*
16,Ñuble,162.0,Itata,16201.0,Quirihue,Otros países de América del Sur,*
16,Ñuble,162.0,Itata,16201.0,Quirihue,Otros países de América Central y El Caribe,*
16,Ñuble,162.0,Itata,16201.0,Quirihue,América del Norte,0
16,Ñuble,162.0,Itata,16201.0,Quirihue,Europa,*
16,Ñuble,162.0,Itata,16201.0,Quirihue,Asia,*
16,Ñuble,162.0,Itata,16201.0,Quirihue,África,0
16,Ñuble,162.0,Itata,16201.0,Quirihue,Oceanía,0
16,Ñuble,162.0,Itata,16201.0,Quirihue,País de nacimiento no declarado,0
16,Ñuble,162.0,Itata,16202.0,Cobquecura,Total nacidos fuera del país,73
16,Ñuble,162.0,Itata,16202.0,Cobquecura,Argentina,*
16,Ñuble,162.0,Itata,16202.0,Cobquecura,Bolivia (Estado Plurinacional de),*
16,Ñuble,162.0,Itata,16202.0,Cobquecura,Colombia,*
16,Ñuble,162.0,Itata,16202.0,Cobquecura,Haití,*
16,Ñuble,162.0,Itata,16202.0,Cobquecura,Perú,*
16,Ñuble,162.0,Itata,16202.0,Cobquecura,Venezuela (República Bolivariana de),*
16,Ñuble,162.0,Itata,16202.0,Cobquecura,Otros países de América del Sur,*
16,Ñuble,162.0,Itata,16202.0,Cobquecura,Otros países de América Central y El Caribe,*
16,Ñuble,162.0,Itata,16202.0,Cobquecura,América del Norte,*
16,Ñuble,162.0,Itata,16202.0,Cobquecura,Europa,*
16,Ñuble,162.0,Itata,16202.0,Cobquecura,Asia,*
16,Ñuble,162.0,Itata,16202.0,Cobquecura,África,0
16,Ñuble,162.0,Itata,16202.0,Cobquecura,Oceanía,*
16,Ñuble,162.0,Itata,16202.0,Cobquecura,País de nacimiento no declarado,0
16,Ñuble,162.0,Itata,16203.0,Coelemu,Total nacidos fuera del país,154
16,Ñuble,162.0,Itata,16203.0,Coelemu,Argentina,*
16,Ñuble,162.0,Itata,16203.0,Coelemu,Bolivia (Estado Plurinacional de),*
16,Ñuble,162.0,Itata,16203.0,Coelemu,Colombia,*
16,Ñuble,162.0,Itata,16203.0,Coelemu,Haití,*
16,Ñuble,162.0,Itata,16203.0,Coelemu,Perú,*
16,Ñuble,162.0,Itata,16203.0,Coelemu,Venezuela (República Bolivariana de),99
16,Ñuble,162.0,Itata,16203.0,Coelemu,Otros países de América del Sur,*
16,Ñuble,162.0,Itata,16203.0,Coelemu,Otros países de América Central y El Caribe,*
16,Ñuble,162.0,Itata,16203.0,Coelemu,América del Norte,*
16,Ñuble,162.0,Itata,16203.0,Coelemu,Europa,*
16,Ñuble,162.0,Itata,16203.0,Coelemu,Asia,*
16,Ñuble,162.0,Itata,16203.0,Coelemu,África,*
16,Ñuble,162.0,Itata,16203.0,Coelemu,Oceanía,0
16,Ñuble,162.0,Itata,16203.0,Coelemu,País de nacimiento no declarado,0
16,Ñuble,162.0,Itata,16204.0,Ninhue,Total nacidos fuera del país,*
16,Ñuble,162.0,Itata,16204.0,Ninhue,Argentina,*
16,Ñuble,162.0,Itata,16204.0,Ninhue,Bolivia (Estado Plurinacional de),*
16,Ñuble,162.0,Itata,16204.0,Ninhue,Colombia,*
16,Ñuble,162.0,Itata,16204.0,Ninhue,Haití,*
16,Ñuble,162.0,Itata,16204.0,Ninhue,Perú,*
16,Ñuble,162.0,Itata,16204.0,Ninhue,Venezuela (República Bolivariana de),*
16,Ñuble,162.0,Itata,16204.0,Ninhue,Otros países de América del Sur,*
16,Ñuble,162.0,Itata,16204.0,Ninhue,Otros países de América Central y El Caribe,0
16,Ñuble,162.0,Itata,16204.0,Ninhue,América del Norte,0
16,Ñuble,162.0,Itata,16204.0,Ninhue,Europa,*
16,Ñuble,162.0,Itata,16204.0,Ninhue,Asia,0
16,Ñuble,162.0,Itata,16204.0,Ninhue,África,0
16,Ñuble,162.0,Itata,16204.0,Ninhue,Oceanía,0
16,Ñuble,162.0,Itata,16204.0,Ninhue,País de nacimiento no declarado,0
16,Ñuble,162.0,Itata,16205.0,Portezuelo,Total nacidos fuera del país,*
16,Ñuble,162.0,Itata,16205.0,Portezuelo,Argentina,0
16,Ñuble,162.0,Itata,16205.0,Portezuelo,Bolivia (Estado Plurinacional de),*
16,Ñuble,162.0,Itata,16205.0,Portezuelo,Colombia,*
16,Ñuble,162.0,Itata,16205.0,Portezuelo,Haití,0
16,Ñuble,162.0,Itata,16205.0,Portezuelo,Perú,*
16,Ñuble,162.0,Itata,16205.0,Portezuelo,Venezuela (República Bolivariana de),*
16,Ñuble,162.0,Itata,16205.0,Portezuelo,Otros países de América del Sur,*
16,Ñuble,162.0,Itata,16205.0,Portezuelo,Otros países de América Central y El Caribe,0
16,Ñuble,162.0,Itata,16205.0,Portezuelo,América del Norte,0
16,Ñuble,162.0,Itata,16205.0,Portezuelo,Europa,*
16,Ñuble,162.0,Itata,16205.0,Portezuelo,Asia,0
16,Ñuble,162.0,Itata,16205.0,Portezuelo,África,0
16,Ñuble,162.0,Itata,16205.0,Portezuelo,Oceanía,0
16,Ñuble,162.0,Itata,16205.0,Portezuelo,País de nacimiento no declarado,0
16,Ñuble,162.0,Itata,16206.0,Ránquil,Total nacidos fuera del país,*
16,Ñuble,162.0,Itata,16206.0,Ránquil,Argentina,*
16,Ñuble,162.0,Itata,16206.0,Ránquil,Bolivia (Estado Plurinacional de),*
16,Ñuble,162.0,Itata,16206.0,Ránquil,Colombia,*
16,Ñuble,162.0,Itata,16206.0,Ránquil,Haití,0
16,Ñuble,162.0,Itata,16206.0,Ránquil,Perú,*
16,Ñuble,162.0,Itata,16206.0,Ránquil,Venezuela (República Bolivariana de),*
16,Ñuble,162.0,Itata,16206.0,Ránquil,Otros países de América del Sur,*
16,Ñuble,162.0,Itata,16206.0,Ránquil,Otros países de América Central y El Caribe,0
16,Ñuble,162.0,Itata,16206.0,Ránquil,América del Norte,0
16,Ñuble,162.0,Itata,16206.0,Ránquil,Europa,*
16,Ñuble,162.0,Itata,16206.0,Ránquil,Asia,*
16,Ñuble,162.0,Itata,16206.0,Ránquil,África,0
16,Ñuble,162.0,Itata,16206.0,Ránquil,Oceanía,0
16,Ñuble,162.0,Itata,16206.0,Ránquil,País de nacimiento no declarado,0
16,Ñuble,162.0,Itata,16207.0,Trehuaco,Total nacidos fuera del país,*
16,Ñuble,162.0,Itata,16207.0,Trehuaco,Argentina,*
16,Ñuble,162.0,Itata,16207.0,Trehuaco,Bolivia (Estado Plurinacional de),*
16,Ñuble,162.0,Itata,16207.0,Trehuaco,Colombia,*
16,Ñuble,162.0,Itata,16207.0,Trehuaco,Haití,0
16,Ñuble,162.0,Itata,16207.0,Trehuaco,Perú,*
16,Ñuble,162.0,Itata,16207.0,Trehuaco,Venezuela (República Bolivariana de),*
16,Ñuble,162.0,Itata,16207.0,Trehuaco,Otros países de América del Sur,*
