Código región,Región,Código provincia,Provincia,Codigo comuna,Comuna,País o continente de nacimiento,Inmigrantes internacionales
1,Tarapacá,11.0,Iquique,1101.0,Iquique,Total nacidos fuera del país,40655
1,Tarapacá,11.0,Iquique,1101.0,Iquique,Argentina,580
1,Tarapacá,11.0,Iquique,1101.0,Iquique,Bolivia (Estado Plurinacional de),17474
1,Tarapacá,11.0,Iquique,1101.0,Iquique,Colombia,2903
1,Tarapacá,11.0,Iquique,1101.0,Iquique,Haití,106
1,Tarapacá,11.0,Iquique,1101.0,Iquique,Perú,7642
1,Tarapacá,11.0,Iquique,1101.0,Iquique,Venezuela (República Bolivariana de),6977
1,Tarapacá,11.0,Iquique,1101.0,Iquique,Otros países de América del Sur,1833
1,Tarapacá,11.0,Iquique,1101.0,Iquique,Otros países de América Central y El Caribe,892
1,Tarapacá,11.0,Iquique,1101.0,Iquique,América del Norte,80
1,Tarapacá,11.0,Iquique,1101.0,Iquique,Europa,237
1,Tarapacá,11.0,Iquique,1101.0,Iquique,Asia,1840
1,Tarapacá,11.0,Iquique,1101.0,Iquique,África,*
1,Tarapacá,11.0,Iquique,1101.0,Iquique,Oceanía,*
1,Tarapacá,11.0,Iquique,1101.0,Iquique,País de nacimiento no declarado,53
1,Tarapacá,11.0,Iquique,1107.0,Alto Hospicio,Total nacidos fuera del país,37628
1,Tarapacá,11.0,Iquique,1107.0,Alto Hospicio,Argentina,330
1,Tarapacá,11.0,Iquique,1107.0,Alto Hospicio,Bolivia (Estado Plurinacional de),20614
1,Tarapacá,11.0,Iquique,1107.0,Alto Hospicio,Colombia,3150
1,Tarapacá,11.0,Iquique,1107.0,Alto Hospicio,Haití,128
1,Tarapacá,11.0,Iquique,1107.0,Alto Hospicio,Perú,7453
1,Tarapacá,11.0,Iquique,1107.0,Alto Hospicio,Venezuela (República Bolivariana de),3728
1,Tarapacá,11.0,Iquique,1107.0,Alto Hospicio,Otros países de América del Sur,1549
1,Tarapacá,11.0,Iquique,1107.0,Alto Hospicio,Otros países de América Central y El Caribe,477
1,Tarapacá,11.0,Iquique,1107.0,Alto Hospicio,América del Norte,*
1,Tarapacá,11.0,Iquique,1107.0,Alto Hospicio,Europa,64
1,Tarapacá,11.0,Iquique,1107.0,Alto Hospicio,Asia,95
1,Tarapacá,11.0,Iquique,1107.0,Alto Hospicio,África,*
1,Tarapacá,11.0,Iquique,1107.0,Alto Hospicio,Oceanía,*
1,Tarapacá,11.0,Iquique,1107.0,Alto Hospicio,País de nacimiento no declarado,7
1,Tarapacá,14.0,Del Tamarugal,1401.0,Pozo Almonte,Total nacidos fuera del país,3695
1,Tarapacá,14.0,Del Tamarugal,1401.0,Pozo Almonte,Argentina,*
1,Tarapacá,14.0,Del Tamarugal,1401.0,Pozo Almonte,Bolivia (Estado Plurinacional de),2618
1,Tarapacá,14.0,Del Tamarugal,1401.0,Pozo Almonte,Colombia,165
1,Tarapacá,14.0,Del Tamarugal,1401.0,Pozo Almonte,Haití,*
1,Tarapacá,14.0,Del Tamarugal,1401.0,Pozo Almonte,Perú,407
1,Tarapacá,14.0,Del Tamarugal,1401.0,Pozo Almonte,Venezuela (República Bolivariana de),355
1,Tarapacá,14.0,Del Tamarugal,1401.0,Pozo Almonte,Otros países de América del Sur,89
1,Tarapacá,14.0,Del Tamarugal,1401.0,Pozo Almonte,Otros países de América Central y El Caribe,*
1,Tarapacá,14.0,Del Tamarugal,1401.0,Pozo Almonte,América del Norte,*
1,Tarapacá,14.0,Del Tamarugal,1401.0,Pozo Almonte,Europa,*
1,Tarapacá,14.0,Del Tamarugal,1401.0,Pozo Almonte,Asia,*
1,Tarapacá,14.0,Del Tamarugal,1401.0,Pozo Almonte,África,0
1,Tarapacá,14.0,Del Tamarugal,1401.0,Pozo Almonte,Oceanía,0
1,Tarapacá,14.0,Del Tamarugal,1401.0,Pozo Almonte,País de nacimiento no declarado,1
1,Tarapacá,14.0,Del Tamarugal,1402.0,Camiña,Total nacidos fuera del país,245
1,Tarapacá,14.0,Del Tamarugal,1402.0,Camiña,Argentina,0
1,Tarapacá,14.0,Del Tamarugal,1402.0,Camiña,Bolivia (Estado Plurinacional de),231
1,Tarapacá,14.0,Del Tamarugal,1402.0,Camiña,Colombia,*
1,Tarapacá,14.0,Del Tamarugal,1402.0,Camiña,Haití,0
1,Tarapacá,14.0,Del Tamarugal,1402.0,Camiña,Perú,*
1,Tarapacá,14.0,Del Tamarugal,1402.0,Camiña,Venezuela (República Bolivariana de),*
1,Tarapacá,14.0,Del Tamarugal,1402.0,Camiña,Otros países de América del Sur,*
1,Tarapacá,14.0,Del Tamarugal,1402.0,Camiña,Otros países de América Central y El Caribe,0
1,Tarapacá,14.0,Del Tamarugal,1402.0,Camiña,América del Norte,0
1,Tarapacá,14.0,Del Tamarugal,1402.0,Camiña,Europa,0
1,Tarapacá,14.0,Del Tamarugal,1402.0,Camiña,Asia,0
1,Tarapacá,14.0,Del Tamarugal,1402.0,Camiña,África,0
1,Tarapacá,14.0,Del Tamarugal,1402.0,Camiña,Oceanía,0
1,Tarapacá,14.0,Del Tamarugal,1402.0,Camiña,País de nacimiento no declarado,0
1,Tarapacá,14.0,Del Tamarugal,1403.0,Colchane,Total nacidos fuera del país,338
1,Tarapacá,14.0,Del Tamarugal,1403.0,Colchane,Argentina,0
1,Tarapacá,14.0,Del Tamarugal,1403.0,Colchane,Bolivia (Estado Plurinacional de),244
1,Tarapacá,14.0,Del Tamarugal,1403.0,Colchane,Colombia,*
