Código región,Región,Código provincia,Provincia,Codigo comuna,Comuna,País o continente de nacimiento,Inmigrantes internacionales
2,Antofagasta,21.0,Antofagasta,2101.0,Antofagasta,Total nacidos fuera del país,76793
2,Antofagasta,21.0,Antofagasta,2101.0,Antofagasta,Argentina,1239
2,Antofagasta,21.0,Antofagasta,2101.0,Antofagasta,Bolivia (Estado Plurinacional de),19940
2,Antofagasta,21.0,Antofagasta,2101.0,Antofagasta,Colombia,29254
2,Antofagasta,21.0,Antofagasta,2101.0,Antofagasta,Haití,*
2,Antofagasta,21.0,Antofagasta,2101.0,Antofagasta,Perú,10189
2,Antofagasta,21.0,Antofagasta,2101.0,Antofagasta,Venezuela (República Bolivariana de),11528
2,Antofagasta,21.0,Antofagasta,2101.0,Antofagasta,Otros países de América del Sur,3192
2,Antofagasta,21.0,Antofagasta,2101.0,Antofagasta,Otros países de América Central y El Caribe,610
2,Antofagasta,21.0,Antofagasta,2101.0,Antofagasta,América del Norte,108
2,Antofagasta,21.0,Antofagasta,2101.0,Antofagasta,Europa,370
2,Antofagasta,21.0,Antofagasta,2101.0,Antofagasta,Asia,238
2,Antofagasta,21.0,Antofagasta,2101.0,Antofagasta,África,*
2,Antofagasta,21.0,Antofagasta,2101.0,Antofagasta,Oceanía,*
2,Antofagasta,21.0,Antofagasta,2101.0,Antofagasta,País de nacimiento no declarado,39
2,Antofagasta,21.0,Antofagasta,2102.0,Mejillones,Total nacidos fuera del país,4202
2,Antofagasta,21.0,Antofagasta,2102.0,Mejillones,Argentina,*
2,Antofagasta,21.0,Antofagasta,2102.0,Mejillones,Bolivia (Estado Plurinacional de),2890
2,Antofagasta,21.0,Antofagasta,2102.0,Mejillones,Colombia,822
2,Antofagasta,21.0,Antofagasta,2102.0,Mejillones,Haití,*
2,Antofagasta,21.0,Antofagasta,2102.0,Mejillones,Perú,171
2,Antofagasta,21.0,Antofagasta,2102.0,Mejillones,Venezuela (República Bolivariana de),169
2,Antofagasta,21.0,Antofagasta,2102.0,Mejillones,Otros países de América del Sur,66
2,Antofagasta,21.0,Antofagasta,2102.0,Mejillones,Otros países de América Central y El Caribe,*
