Código región,Región,Código provincia,Provincia,Codigo comuna,Comuna,País o continente de nacimiento,Inmigrantes internacionales
3,Atacama,31.0,Copiapó,3101.0,Copiapó,Total nacidos fuera del país,19207
3,Atacama,31.0,Copiapó,3101.0,Copiapó,Argentina,364
3,Atacama,31.0,Copiapó,3101.0,Copiapó,Bolivia (Estado Plurinacional de),7278
3,Atacama,31.0,Copiapó,3101.0,Copiapó,Colombia,3338
3,Atacama,31.0,Copiapó,3101.0,Copiapó,Haití,71
3,Atacama,31.0,Copiapó,3101.0,Copiapó,Perú,1869
3,Atacama,31.0,Copiapó,3101.0,Copiapó,Venezuela (República Bolivariana de),4766
3,Atacama,31.0,Copiapó,3101.0,Copiapó,Otros países de América del Sur,896
3,Atacama,31.0,Copiapó,3101.0,Copiapó,Otros países de América Central y El Caribe,304
3,Atacama,31.0,Copiapó,3101.0,Copiapó,América del Norte,*
3,Atacama,31.0,Copiapó,3101.0,Copiapó,Europa,137
3,Atacama,31.0,Copiapó,3101.0,Copiapó,Asia,142
3,Atacama,31.0,Copiapó,3101.0,Copiapó,África,*
3,Atacama,31.0,Copiapó,3101.0,Copiapó,Oceanía,0
3,Atacama,31.0,Copiapó,3101.0,Copiapó,País de nacimiento no declarado,14
3,Atacama,31.0,Copiapó,3102.0,Caldera,Total nacidos fuera del país,1114
3,Atacama,31.0,Copiapó,3102.0,Caldera,Argentina,*
3,Atacama,31.0,Copiapó,3102.0,Caldera,Bolivia (Estado Plurinacional de),128
3,Atacama,31.0,Copiapó,3102.0,Caldera,Colombia,227
3,Atacama,31.0,Copiapó,3102.0,Caldera,Haití,*
3,Atacama,31.0,Copiapó,3102.0,Caldera,Perú,133
3,Atacama,31.0,Copiapó,3102.0,Caldera,Venezuela (República Bolivariana de),365
3,Atacama,31.0,Copiapó,3102.0,Caldera,Otros países de América del Sur,108
3,Atacama,31.0,Copiapó,3102.0,Caldera,Otros países de América Central y El Caribe,67
3,Atacama,31.0,Copiapó,3102.0,Caldera,América del Norte,*
3,Atacama,31.0,Copiapó,3102.0,Caldera,Europa,*
3,Atacama,31.0,Copiapó,3102.0,Caldera,Asia,*
3,Atacama,31.0,Copiapó,3102.0,Caldera,África,*
3,Atacama,31.0,Copiapó,3102.0,Caldera,Oceanía,*
3,Atacama,31.0,Copiapó,3102.0,Caldera,País de nacimiento no declarado,0
3,Atacama,31.0,Copiapó,3103.0,Tierra Amarilla,Total nacidos fuera del país,682
3,Atacama,31.0,Copiapó,3103.0,Tierra Amarilla,Argentina,*
3,Atacama,31.0,Copiapó,3103.0,Tierra Amarilla,Bolivia (Estado Plurinacional de),388
3,Atacama,31.0,Copiapó,3103.0,Tierra Amarilla,Colombia,113
3,Atacama,31.0,Copiapó,3103.0,Tierra Amarilla,Haití,*
3,Atacama,31.0,Copiapó,3103.0,Tierra Amarilla,Perú,*
3,Atacama,31.0,Copiapó,3103.0,Tierra Amarilla,Venezuela (República Bolivariana de),56
3,Atacama,31.0,Copiapó,3103.0,Tierra Amarilla,Otros países de América del Sur,*
3,Atacama,31.0,Copiapó,3103.0,Tierra Amarilla,Otros países de América Central y El Caribe,*
3,Atacama,31.0,Copiapó,3103.0,Tierra Amarilla,América del Norte,0
3,Atacama,31.0,Copiapó,3103.0,Tierra Amarilla,Europa,*
3,Atacama,31.0,Copiapó,3103.0,Tierra Amarilla,Asia,*
3,Atacama,31.0,Copiapó,3103.0,Tierra Amarilla,África,*
3,Atacama,31.0,Copiapó,3103.0,Tierra Amarilla,Oceanía,0
3,Atacama,31.0,Copiapó,3103.0,Tierra Amarilla,País de nacimiento no declarado,0
3,Atacama,32.0,Chañaral,3201.0,Chañaral,Total nacidos fuera del país,463
3,Atacama,32.0,Chañaral,3201.0,Chañaral,Argentina,*
3,Atacama,32.0,Chañaral,3201.0,Chañaral,Bolivia (Estado Plurinacional de),160
3,Atacama,32.0,Chañaral,3201.0,Chañaral,Colombia,106
3,Atacama,32.0,Chañaral,3201.0,Chañaral,Haití,0
3,Atacama,32.0,Chañaral,3201.0,Chañaral,Perú,63
3,Atacama,32.0,Chañaral,3201.0,Chañaral,Venezuela (República Bolivariana de),100
3,Atacama,32.0,Chañaral,3201.0,Chañaral,Otros países de América del Sur,*
3,Atacama,32.0,Chañaral,3201.0,Chañaral,Otros países de América Central y El Caribe,*
3,Atacama,32.0,Chañaral,3201.0,Chañaral,América del Norte,*
3,Atacama,32.0,Chañaral,3201.0,Chañaral,Europa,*
3,Atacama,32.0,Chañaral,3201.0,Chañaral,Asia,*
3,Atacama,32.0,Chañaral,3201.0,Chañaral,África,0
3,Atacama,32.0,Chañaral,3201.0,Chañaral,Oceanía,0
3,Atacama,32.0,Chañaral,3201.0,Chañaral,País de nacimiento no declarado,0
