Código región,Región,Código provincia,Provincia,Codigo comuna,Comuna,País o continente de nacimiento,Inmigrantes internacionales
4,Coquimbo,41.0,Elqui,4101.0,La Serena,Total nacidos fuera del país,15544
4,Coquimbo,41.0,Elqui,4101.0,La Serena,Argentina,889
4,Coquimbo,41.0,Elqui,4101.0,La Serena,Bolivia (Estado Plurinacional de),833
4,Coquimbo,41.0,Elqui,4101.0,La Serena,Colombia,2790
4,Coquimbo,41.0,Elqui,4101.0,La Serena,Haití,399
4,Coquimbo,41.0,Elqui,4101.0,La Serena,Perú,904
4,Coquimbo,41.0,Elqui,4101.0,La Serena,Venezuela (República Bolivariana de),7816
4,Coquimbo,41.0,Elqui,4101.0,La Serena,Otros países de América del Sur,674
4,Coquimbo,41.0,Elqui,4101.0,La Serena,Otros países de América Central y El Caribe,383
4,Coquimbo,41.0,Elqui,4101.0,La Serena,América del Norte,126
4,Coquimbo,41.0,Elqui,4101.0,La Serena,Europa,492
4,Coquimbo,41.0,Elqui,4101.0,La Serena,Asia,191
4,Coquimbo,41.0,Elqui,4101.0,La Serena,África,*
4,Coquimbo,41.0,Elqui,4101.0,La Serena,Oceanía,*
4,Coquimbo,41.0,Elqui,4101.0,La Serena,País de nacimiento no declarado,12
4,Coquimbo,41.0,Elqui,4102.0,Coquimbo,Total nacidos fuera del país,16971
4,Coquimbo,41.0,Elqui,4102.0,Coquimbo,Argentina,932
4,Coquimbo,41.0,Elqui,4102.0,Coquimbo,Bolivia (Estado Plurinacional de),1318
4,Coquimbo,41.0,Elqui,4102.0,Coquimbo,Colombia,2982
4,Coquimbo,41.0,Elqui,4102.0,Coquimbo,Haití,1099
4,Coquimbo,41.0,Elqui,4102.0,Coquimbo,Perú,1017
4,Coquimbo,41.0,Elqui,4102.0,Coquimbo,Venezuela (República Bolivariana de),7662
4,Coquimbo,41.0,Elqui,4102.0,Coquimbo,Otros países de América del Sur,1028
4,Coquimbo,41.0,Elqui,4102.0,Coquimbo,Otros países de América Central y El Caribe,414
4,Coquimbo,41.0,Elqui,4102.0,Coquimbo,América del Norte,77
4,Coquimbo,41.0,Elqui,4102.0,Coquimbo,Europa,304
4,Coquimbo,41.0,Elqui,4102.0,Coquimbo,Asia,114
4,Coquimbo,41.0,Elqui,4102.0,Coquimbo,África,*
4,Coquimbo,41.0,Elqui,4102.0,Coquimbo,Oceanía,*
4,Coquimbo,41.0,Elqui,4102.0,Coquimbo,País de nacimiento no declarado,9
4,Coquimbo,41.0,Elqui,4103.0,Andacollo,Total nacidos fuera del país,135
4,Coquimbo,41.0,Elqui,4103.0,Andacollo,Argentina,*
4,Coquimbo,41.0,Elqui,4103.0,Andacollo,Bolivia (Estado Plurinacional de),*
4,Coquimbo,41.0,Elqui,4103.0,Andacollo,Colombia,*
4,Coquimbo,41.0,Elqui,4103.0,Andacollo,Haití,0
4,Coquimbo,41.0,Elqui,4103.0,Andacollo,Perú,*
4,Coquimbo,41.0,Elqui,4103.0,Andacollo,Venezuela (República Bolivariana de),*
4,Coquimbo,41.0,Elqui,4103.0,Andacollo,Otros países de América del Sur,*
4,Coquimbo,41.0,Elqui,4103.0,Andacollo,Otros países de América Central y El Caribe,*
4,Coquimbo,41.0,Elqui,4103.0,Andacollo,América del Norte,*
4,Coquimbo,41.0,Elqui,4103.0,Andacollo,Europa,*
4,Coquimbo,41.0,Elqui,4103.0,Andacollo,Asia,*
4,Coquimbo,41.0,Elqui,4103.0,Andacollo,África,0
