Código región,Región,Código provincia,Provincia,Codigo comuna,Comuna,País o continente de nacimiento,Inmigrantes internacionales
5,Valparaíso,51.0,Valparaíso,5101.0,Valparaíso,Total nacidos fuera del país,13223
5,Valparaíso,51.0,Valparaíso,5101.0,Valparaíso,Argentina,1174
5,Valparaíso,51.0,Valparaíso,5101.0,Valparaíso,Bolivia (Estado Plurinacional de),260
5,Valparaíso,51.0,Valparaíso,5101.0,Valparaíso,Colombia,1336
5,Valparaíso,51.0,Valparaíso,5101.0,Valparaíso,Haití,489
5,Valparaíso,51.0,Valparaíso,5101.0,Valparaíso,Perú,761
5,Valparaíso,51.0,Valparaíso,5101.0,Valparaíso,Venezuela (República Bolivariana de),6951
5,Valparaíso,51.0,Valparaíso,5101.0,Valparaíso,Otros países de América del Sur,652
5,Valparaíso,51.0,Valparaíso,5101.0,Valparaíso,Otros países de América Central y El Caribe,417
5,Valparaíso,51.0,Valparaíso,5101.0,Valparaíso,América del Norte,196
5,Valparaíso,51.0,Valparaíso,5101.0,Valparaíso,Europa,793
5,Valparaíso,51.0,Valparaíso,5101.0,Valparaíso,Asia,127
5,Valparaíso,51.0,Valparaíso,5101.0,Valparaíso,África,*
5,Valparaíso,51.0,Valparaíso,5101.0,Valparaíso,Oceanía,*
5,Valparaíso,51.0,Valparaíso,5101.0,Valparaíso,País de nacimiento no declarado,13
5,Valparaíso,51.0,Valparaíso,5102.0,Casablanca,Total nacidos fuera del país,2250
5,Valparaíso,51.0,Valparaíso,5102.0,Casablanca,Argentina,83
5,Valparaíso,51.0,Valparaíso,5102.0,Casablanca,Bolivia (Estado Plurinacional de),*
5,Valparaíso,51.0,Valparaíso,5102.0,Casablanca,Colombia,126
5,Valparaíso,51.0,Valparaíso,5102.0,Casablanca,Haití,149
5,Valparaíso,51.0,Valparaíso,5102.0,Casablanca,Perú,84
5,Valparaíso,51.0,Valparaíso,5102.0,Casablanca,Venezuela (República Bolivariana de),1567
5,Valparaíso,51.0,Valparaíso,5102.0,Casablanca,Otros países de América del Sur,74
5,Valparaíso,51.0,Valparaíso,5102.0,Casablanca,Otros países de América Central y El Caribe,*
5,Valparaíso,51.0,Valparaíso,5102.0,Casablanca,América del Norte,*
5,Valparaíso,51.0,Valparaíso,5102.0,Casablanca,Europa,55
5,Valparaíso,51.0,Valparaíso,5102.0,Casablanca,Asia,*
5,Valparaíso,51.0,Valparaíso,5102.0,Casablanca,África,*
5,Valparaíso,51.0,Valparaíso,5102.0,Casablanca,Oceanía,*
5,Valparaíso,51.0,Valparaíso,5102.0,Casablanca,País de nacimiento no declarado,2
5,Valparaíso,51.0,Valparaíso,5103.0,Concón,Total nacidos fuera del país,4065
5,Valparaíso,51.0,Valparaíso,5103.0,Concón,Argentina,369
5,Valparaíso,51.0,Valparaíso,5103.0,Concón,Bolivia (Estado Plurinacional de),*
5,Valparaíso,51.0,Valparaíso,5103.0,Concón,Colombia,366
5,Valparaíso,51.0,Valparaíso,5103.0,Concón,Haití,*
5,Valparaíso,51.0,Valparaíso,5103.0,Concón,Perú,286
5,Valparaíso,51.0,Valparaíso,5103.0,Concón,Venezuela (República Bolivariana de),1994
5,Valparaíso,51.0,Valparaíso,5103.0,Concón,Otros países de América del Sur,312
5,Valparaíso,51.0,Valparaíso,5103.0,Concón,Otros países de América Central y El Caribe,102
5,Valparaíso,51.0,Valparaíso,5103.0,Concón,América del Norte,151
5,Valparaíso,51.0,Valparaíso,5103.0,Concón,Europa,330
5,Valparaíso,51.0,Valparaíso,5103.0,Concón,Asia,*
5,Valparaíso,51.0,Valparaíso,5103.0,Concón,África,*
5,Valparaíso,51.0,Valparaíso,5103.0,Concón,Oceanía,*
5,Valparaíso,51.0,Valparaíso,5103.0,Concón,País de nacimiento no declarado,6
5,Valparaíso,51.0,Valparaíso,5104.0,Juan Fernández,Total nacidos fuera del país,*
5,Valparaíso,51.0,Valparaíso,5104.0,Juan Fernández,Argentina,*
5,Valparaíso,51.0,Valparaíso,5104.0,Juan Fernández,Bolivia (Estado Plurinacional de),0
5,Valparaíso,51.0,Valparaíso,5104.0,Juan Fernández,Colombia,*
5,Valparaíso,51.0,Valparaíso,5104.0,Juan Fernández,Haití,0
5,Valparaíso,51.0,Valparaíso,5104.0,Juan Fernández,Perú,*
5,Valparaíso,51.0,Valparaíso,5104.0,Juan Fernández,Venezuela (República Bolivariana de),*
5,Valparaíso,51.0,Valparaíso,5104.0,Juan Fernández,Otros países de América del Sur,*
5,Valparaíso,51.0,Valparaíso,5104.0,Juan Fernández,Otros países de América Central y El Caribe,*
5,Valparaíso,51.0,Valparaíso,5104.0,Juan Fernández,América del Norte,*
5,Valparaíso,51.0,Valparaíso,5104.0,Juan Fernández,Europa,*
5,Valparaíso,51.0,Valparaíso,5104.0,Juan Fernández,Asia,0
5,Valparaíso,51.0,Valparaíso,5104.0,Juan Fernández,África,0
5,Valparaíso,51.0,Valparaíso,5104.0,Juan Fernández,Oceanía,0
5,Valparaíso,51.0,Valparaíso,5104.0,Juan Fernández,País de nacimiento no declarado,0
5,Valparaíso,51.0,Valparaíso,5105.0,Puchuncaví,Total nacidos fuera del país,949
5,Valparaíso,51.0,Valparaíso,5105.0,Puchuncaví,Argentina,106
5,Valparaíso,51.0,Valparaíso,5105.0,Puchuncaví,Bolivia (Estado Plurinacional de),*
5,Valparaíso,51.0,Valparaíso,5105.0,Puchuncaví,Colombia,191
5,Valparaíso,51.0,Valparaíso,5105.0,Puchuncaví,Haití,78
5,Valparaíso,51.0,Valparaíso,5105.0,Puchuncaví,Perú,73
5,Valparaíso,51.0,Valparaíso,5105.0,Puchuncaví,Venezuela (República Bolivariana de),324
5,Valparaíso,51.0,Valparaíso,5105.0,Puchuncaví,Otros países de América del Sur,*
5,Valparaíso,51.0,Valparaíso,5105.0,Puchuncaví,Otros países de América Central y El Caribe,*
5,Valparaíso,51.0,Valparaíso,5105.0,Puchuncaví,América del Norte,*
5,Valparaíso,51.0,Valparaíso,5105.0,Puchuncaví,Europa,*
5,Valparaíso,51.0,Valparaíso,5105.0,Puchuncaví,Asia,*
5,Valparaíso,51.0,Valparaíso,5105.0,Puchuncaví,África,0
5,Valparaíso,51.0,Valparaíso,5105.0,Puchuncaví,Oceanía,*
5,Valparaíso,51.0,Valparaíso,5105.0,Puchuncaví,País de nacimiento no declarado,0
5,Valparaíso,51.0,Valparaíso,5107.0,Quintero,Total nacidos fuera del país,1833
5,Valparaíso,51.0,Valparaíso,5107.0,Quintero,Argentina,166
5,Valparaíso,51.0,Valparaíso,5107.0,Quintero,Bolivia (Estado Plurinacional de),56
5,Valparaíso,51.0,Valparaíso,5107.0,Quintero,Colombia,159
5,Valparaíso,51.0,Valparaíso,5107.0,Quintero,Haití,376
5,Valparaíso,51.0,Valparaíso,5107.0,Quintero,Perú,125
5,Valparaíso,51.0,Valparaíso,5107.0,Quintero,Venezuela (República Bolivariana de),579
5,Valparaíso,51.0,Valparaíso,5107.0,Quintero,Otros países de América del Sur,189
5,Valparaíso,51.0,Valparaíso,5107.0,Quintero,Otros países de América Central y El Caribe,*
5,Valparaíso,51.0,Valparaíso,5107.0,Quintero,América del Norte,*
5,Valparaíso,51.0,Valparaíso,5107.0,Quintero,Europa,105
5,Valparaíso,51.0,Valparaíso,5107.0,Quintero,Asia,*
5,Valparaíso,51.0,Valparaíso,5107.0,Quintero,África,*
5,Valparaíso,51.0,Valparaíso,5107.0,Quintero,Oceanía,*
5,Valparaíso,51.0,Valparaíso,5107.0,Quintero,País de nacimiento no declarado,2
5,Valparaíso,51.0,Valparaíso,5109.0,Viña del Mar,Total nacidos fuera del país,21597
5,Valparaíso,51.0,Valparaíso,5109.0,Viña del Mar,Argentina,1997
5,Valparaíso,51.0,Valparaíso,5109.0,Viña del Mar,Bolivia (Estado Plurinacional de),352
5,Valparaíso,51.0,Valparaíso,5109.0,Viña del Mar,Colombia,1881
5,Valparaíso,51.0,Valparaíso,5109.0,Viña del Mar,Haití,461
5,Valparaíso,51.0,Valparaíso,5109.0,Viña del Mar,Perú,1380
5,Valparaíso,51.0,Valparaíso,5109.0,Viña del Mar,Venezuela (República Bolivariana de),11483
5,Valparaíso,51.0,Valparaíso,5109.0,Viña del Mar,Otros países de América del Sur,1279
5,Valparaíso,51.0,Valparaíso,5109.0,Viña del Mar,Otros países de América Central y El Caribe,618
5,Valparaíso,51.0,Valparaíso,5109.0,Viña del Mar,América del Norte,468
5,Valparaíso,51.0,Valparaíso,5109.0,Viña del Mar,Europa,1296
5,Valparaíso,51.0,Valparaíso,5109.0,Viña del Mar,Asia,278
5,Valparaíso,51.0,Valparaíso,5109.0,Viña del Mar,África,*
5,Valparaíso,51.0,Valparaíso,5109.0,Viña del Mar,Oceanía,*
5,Valparaíso,51.0,Valparaíso,5109.0,Viña del Mar,País de nacimiento no declarado,26
5,Valparaíso,52.0,Isla de Pascua,5201.0,Isla de Pascua,Total nacidos fuera del país,182
5,Valparaíso,52.0,Isla de Pascua,5201.0,Isla de Pascua,Argentina,*
5,Valparaíso,52.0,Isla de Pascua,5201.0,Isla de Pascua,Bolivia (Estado Plurinacional de),*
5,Valparaíso,52.0,Isla de Pascua,5201.0,Isla de Pascua,Colombia,*
5,Valparaíso,52.0,Isla de Pascua,5201.0,Isla de Pascua,Haití,*
5,Valparaíso,52.0,Isla de Pascua,5201.0,Isla de Pascua,Perú,*
5,Valparaíso,52.0,Isla de Pascua,5201.0,Isla de Pascua,Venezuela (República Bolivariana de),*
5,Valparaíso,52.0,Isla de Pascua,5201.0,Isla de Pascua,Otros países de América del Sur,*
5,Valparaíso,52.0,Isla de Pascua,5201.0,Isla de Pascua,Otros países de América Central y El Caribe,*
5,Valparaíso,52.0,Isla de Pascua,5201.0,Isla de Pascua,América del Norte,*
5,Valparaíso,52.0,Isla de Pascua,5201.0,Isla de Pascua,Europa,*
5,Valparaíso,52.0,Isla de Pascua,5201.0,Isla de Pascua,Asia,*
5,Valparaíso,52.0,Isla de Pascua,5201.0,Isla de Pascua,África,0
5,Valparaíso,52.0,Isla de Pascua,5201.0,Isla de Pascua,Oceanía,*
5,Valparaíso,52.0,Isla de Pascua,5201.0,Isla de Pascua,País de nacimiento no declarado,2
