Código región,Región,Código provincia,Provincia,Codigo comuna,Comuna,País o continente de nacimiento,Inmigrantes internacionales
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6101.0,Rancagua,Total nacidos fuera del país,20640
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6101.0,Rancagua,Argentina,655
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6101.0,Rancagua,Bolivia (Estado Plurinacional de),417
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6101.0,Rancagua,Colombia,2408
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6101.0,Rancagua,Haití,991
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6101.0,Rancagua,Perú,825
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6101.0,Rancagua,Venezuela (República Bolivariana de),13319
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6101.0,Rancagua,Otros países de América del Sur,926
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6101.0,Rancagua,Otros países de América Central y El Caribe,562
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6101.0,Rancagua,América del Norte,75
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6101.0,Rancagua,Europa,229
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6101.0,Rancagua,Asia,196
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6101.0,Rancagua,África,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6101.0,Rancagua,Oceanía,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6101.0,Rancagua,País de nacimiento no declarado,18
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6102.0,Codegua,Total nacidos fuera del país,371
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6102.0,Codegua,Argentina,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6102.0,Codegua,Bolivia (Estado Plurinacional de),96
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6102.0,Codegua,Colombia,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6102.0,Codegua,Haití,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6102.0,Codegua,Perú,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6102.0,Codegua,Venezuela (República Bolivariana de),148
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6102.0,Codegua,Otros países de América del Sur,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6102.0,Codegua,Otros países de América Central y El Caribe,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6102.0,Codegua,América del Norte,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6102.0,Codegua,Europa,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6102.0,Codegua,Asia,0
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6102.0,Codegua,África,0
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6102.0,Codegua,Oceanía,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6102.0,Codegua,País de nacimiento no declarado,0
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6103.0,Coinco,Total nacidos fuera del país,107
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6103.0,Coinco,Argentina,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6103.0,Coinco,Bolivia (Estado Plurinacional de),*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6103.0,Coinco,Colombia,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6103.0,Coinco,Haití,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6103.0,Coinco,Perú,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6103.0,Coinco,Venezuela (República Bolivariana de),*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6103.0,Coinco,Otros países de América del Sur,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6103.0,Coinco,Otros países de América Central y El Caribe,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6103.0,Coinco,América del Norte,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6103.0,Coinco,Europa,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6103.0,Coinco,Asia,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6103.0,Coinco,África,0
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6103.0,Coinco,Oceanía,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6103.0,Coinco,País de nacimiento no declarado,1
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6104.0,Coltauco,Total nacidos fuera del país,591
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6104.0,Coltauco,Argentina,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6104.0,Coltauco,Bolivia (Estado Plurinacional de),152
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6104.0,Coltauco,Colombia,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6104.0,Coltauco,Haití,153
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6104.0,Coltauco,Perú,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6104.0,Coltauco,Venezuela (República Bolivariana de),126
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6104.0,Coltauco,Otros países de América del Sur,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6104.0,Coltauco,Otros países de América Central y El Caribe,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6104.0,Coltauco,América del Norte,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6104.0,Coltauco,Europa,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6104.0,Coltauco,Asia,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6104.0,Coltauco,África,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6104.0,Coltauco,Oceanía,0
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6104.0,Coltauco,País de nacimiento no declarado,0
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6105.0,Doñihue,Total nacidos fuera del país,728
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6105.0,Doñihue,Argentina,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6105.0,Doñihue,Bolivia (Estado Plurinacional de),79
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6105.0,Doñihue,Colombia,75
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6105.0,Doñihue,Haití,144
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6105.0,Doñihue,Perú,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6105.0,Doñihue,Venezuela (República Bolivariana de),204
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6105.0,Doñihue,Otros países de América del Sur,74
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6105.0,Doñihue,Otros países de América Central y El Caribe,57
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6105.0,Doñihue,América del Norte,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6105.0,Doñihue,Europa,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6105.0,Doñihue,Asia,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6105.0,Doñihue,África,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6105.0,Doñihue,Oceanía,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6105.0,Doñihue,País de nacimiento no declarado,0
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6106.0,Graneros,Total nacidos fuera del país,2068
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6106.0,Graneros,Argentina,74
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6106.0,Graneros,Bolivia (Estado Plurinacional de),955
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6106.0,Graneros,Colombia,95
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6106.0,Graneros,Haití,200
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6106.0,Graneros,Perú,59
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6106.0,Graneros,Venezuela (República Bolivariana de),558
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6106.0,Graneros,Otros países de América del Sur,58
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6106.0,Graneros,Otros países de América Central y El Caribe,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6106.0,Graneros,América del Norte,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6106.0,Graneros,Europa,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6106.0,Graneros,Asia,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6106.0,Graneros,África,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6106.0,Graneros,Oceanía,0
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6106.0,Graneros,País de nacimiento no declarado,2
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6107.0,Las Cabras,Total nacidos fuera del país,1653
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6107.0,Las Cabras,Argentina,66
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6107.0,Las Cabras,Bolivia (Estado Plurinacional de),568
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6107.0,Las Cabras,Colombia,77
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6107.0,Las Cabras,Haití,142
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6107.0,Las Cabras,Perú,108
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6107.0,Las Cabras,Venezuela (República Bolivariana de),543
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6107.0,Las Cabras,Otros países de América del Sur,75
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6107.0,Las Cabras,Otros países de América Central y El Caribe,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6107.0,Las Cabras,América del Norte,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6107.0,Las Cabras,Europa,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6107.0,Las Cabras,Asia,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6107.0,Las Cabras,África,*
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6107.0,Las Cabras,Oceanía,0
