Código región,Región,Código provincia,Provincia,Codigo comuna,Comuna,País o continente de nacimiento,Inmigrantes internacionales
8,Biobío,81.0,Concepción,8101.0,Concepción,Total nacidos fuera del país,15088
8,Biobío,81.0,Concepción,8101.0,Concepción,Argentina,503
8,Biobío,81.0,Concepción,8101.0,Concepción,Bolivia (Estado Plurinacional de),113
8,Biobío,81.0,Concepción,8101.0,Concepción,Colombia,1377
8,Biobío,81.0,Concepción,8101.0,Concepción,Haití,182
8,Biobío,81.0,Concepción,8101.0,Concepción,Perú,659
8,Biobío,81.0,Concepción,8101.0,Concepción,Venezuela (República Bolivariana de),10258
8,Biobío,81.0,Concepción,8101.0,Concepción,Otros países de América del Sur,618
8,Biobío,81.0,Concepción,8101.0,Concepción,Otros países de América Central y El Caribe,445
8,Biobío,81.0,Concepción,8101.0,Concepción,América del Norte,143
8,Biobío,81.0,Concepción,8101.0,Concepción,Europa,512
8,Biobío,81.0,Concepción,8101.0,Concepción,Asia,223
8,Biobío,81.0,Concepción,8101.0,Concepción,África,*
8,Biobío,81.0,Concepción,8101.0,Concepción,Oceanía,*
8,Biobío,81.0,Concepción,8101.0,Concepción,País de nacimiento no declarado,6
8,Biobío,81.0,Concepción,8102.0,Coronel,Total nacidos fuera del país,2704
8,Biobío,81.0,Concepción,8102.0,Coronel,Argentina,251
8,Biobío,81.0,Concepción,8102.0,Coronel,Bolivia (Estado Plurinacional de),51
8,Biobío,81.0,Concepción,8102.0,Coronel,Colombia,222
8,Biobío,81.0,Concepción,8102.0,Coronel,Haití,157
8,Biobío,81.0,Concepción,8102.0,Coronel,Perú,111
8,Biobío,81.0,Concepción,8102.0,Coronel,Venezuela (República Bolivariana de),1657
8,Biobío,81.0,Concepción,8102.0,Coronel,Otros países de América del Sur,117
8,Biobío,81.0,Concepción,8102.0,Coronel,Otros países de América Central y El Caribe,76
8,Biobío,81.0,Concepción,8102.0,Coronel,América del Norte,*
8,Biobío,81.0,Concepción,8102.0,Coronel,Europa,*
8,Biobío,81.0,Concepción,8102.0,Coronel,Asia,*
8,Biobío,81.0,Concepción,8102.0,Coronel,África,*
8,Biobío,81.0,Concepción,8102.0,Coronel,Oceanía,*
8,Biobío,81.0,Concepción,8102.0,Coronel,País de nacimiento no declarado,3
8,Biobío,81.0,Concepción,8103.0,Chiguayante,Total nacidos fuera del país,2155
8,Biobío,81.0,Concepción,8103.0,Chiguayante,Argentina,171
8,Biobío,81.0,Concepción,8103.0,Chiguayante,Bolivia (Estado Plurinacional de),*
8,Biobío,81.0,Concepción,8103.0,Chiguayante,Colombia,174
