Código región,Región,Código provincia,Provincia,Codigo comuna,Comuna,País o continente de nacimiento,Inmigrantes internacionales
9,La Araucanía,91.0,Cautín,9101.0,Temuco,Total nacidos fuera del país,10660
9,La Araucanía,91.0,Cautín,9101.0,Temuco,Argentina,1667
9,La Araucanía,91.0,Cautín,9101.0,Temuco,Bolivia (Estado Plurinacional de),104
9,La Araucanía,91.0,Cautín,9101.0,Temuco,Colombia,1018
9,La Araucanía,91.0,Cautín,9101.0,Temuco,Haití,589
9,La Araucanía,91.0,Cautín,9101.0,Temuco,Perú,436
9,La Araucanía,91.0,Cautín,9101.0,Temuco,Venezuela (República Bolivariana de),5145
9,La Araucanía,91.0,Cautín,9101.0,Temuco,Otros países de América del Sur,568
9,La Araucanía,91.0,Cautín,9101.0,Temuco,Otros países de América Central y El Caribe,383
9,La Araucanía,91.0,Cautín,9101.0,Temuco,América del Norte,97
9,La Araucanía,91.0,Cautín,9101.0,Temuco,Europa,393
9,La Araucanía,91.0,Cautín,9101.0,Temuco,Asia,213
9,La Araucanía,91.0,Cautín,9101.0,Temuco,África,*
9,La Araucanía,91.0,Cautín,9101.0,Temuco,Oceanía,*
9,La Araucanía,91.0,Cautín,9101.0,Temuco,País de nacimiento no declarado,6
9,La Araucanía,91.0,Cautín,9102.0,Carahue,Total nacidos fuera del país,136
9,La Araucanía,91.0,Cautín,9102.0,Carahue,Argentina,65
9,La Araucanía,91.0,Cautín,9102.0,Carahue,Bolivia (Estado Plurinacional de),*
9,La Araucanía,91.0,Cautín,9102.0,Carahue,Colombia,*
9,La Araucanía,91.0,Cautín,9102.0,Carahue,Haití,*
9,La Araucanía,91.0,Cautín,9102.0,Carahue,Perú,*
9,La Araucanía,91.0,Cautín,9102.0,Carahue,Venezuela (República Bolivariana de),*
9,La Araucanía,91.0,Cautín,9102.0,Carahue,Otros países de América del Sur,*
9,La Araucanía,91.0,Cautín,9102.0,Carahue,Otros países de América Central y El Caribe,*
9,La Araucanía,91.0,Cautín,9102.0,Carahue,América del Norte,*
9,La Araucanía,91.0,Cautín,9102.0,Carahue,Europa,*
9,La Araucanía,91.0,Cautín,9102.0,Carahue,Asia,*
9,La Araucanía,91.0,Cautín,9102.0,Carahue,África,*
9,La Araucanía,91.0,Cautín,9102.0,Carahue,Oceanía,0
9,La Araucanía,91.0,Cautín,9102.0,Carahue,País de nacimiento no declarado,0
9,La Araucanía,91.0,Cautín,9103.0,Cunco,Total nacidos fuera del país,279
9,La Araucanía,91.0,Cautín,9103.0,Cunco,Argentina,147
9,La Araucanía,91.0,Cautín,9103.0,Cunco,Bolivia (Estado Plurinacional de),*
9,La Araucanía,91.0,Cautín,9103.0,Cunco,Colombia,*
9,La Araucanía,91.0,Cautín,9103.0,Cunco,Haití,*
9,La Araucanía,91.0,Cautín,9103.0,Cunco,Perú,*
9,La Araucanía,91.0,Cautín,9103.0,Cunco,Venezuela (República Bolivariana de),*
9,La Araucanía,91.0,Cautín,9103.0,Cunco,Otros países de América del Sur,*
9,La Araucanía,91.0,Cautín,9103.0,Cunco,Otros países de América Central y El Caribe,*
9,La Araucanía,91.0,Cautín,9103.0,Cunco,América del Norte,*
9,La Araucanía,91.0,Cautín,9103.0,Cunco,Europa,*
9,La Araucanía,91.0,Cautín,9103.0,Cunco,Asia,*
9,La Araucanía,91.0,Cautín,9103.0,Cunco,África,0
9,La Araucanía,91.0,Cautín,9103.0,Cunco,Oceanía,0
9,La Araucanía,91.0,Cautín,9103.0,Cunco,País de nacimiento no declarado,1
9,La Araucanía,91.0,Cautín,9104.0,Curarrehue,Total nacidos fuera del país,218
9,La Araucanía,91.0,Cautín,9104.0,Curarrehue,Argentina,155
9,La Araucanía,91.0,Cautín,9104.0,Curarrehue,Bolivia (Estado Plurinacional de),*
9,La Araucanía,91.0,Cautín,9104.0,Curarrehue,Colombia,*
9,La Araucanía,91.0,Cautín,9104.0,Curarrehue,Haití,0
9,La Araucanía,91.0,Cautín,9104.0,Curarrehue,Perú,*
9,La Araucanía,91.0,Cautín,9104.0,Curarrehue,Venezuela (República Bolivariana de),*
9,La Araucanía,91.0,Cautín,9104.0,Curarrehue,Otros países de América del Sur,*
9,La Araucanía,91.0,Cautín,9104.0,Curarrehue,Otros países de América Central y El Caribe,*
9,La Araucanía,91.0,Cautín,9104.0,Curarrehue,América del Norte,*
9,La Araucanía,91.0,Cautín,9104.0,Curarrehue,Europa,*
9,La Araucanía,91.0,Cautín,9104.0,Curarrehue,Asia,*
9,La Araucanía,91.0,Cautín,9104.0,Curarrehue,África,0
9,La Araucanía,91.0,Cautín,9104.0,Curarrehue,Oceanía,0
9,La Araucanía,91.0,Cautín,9104.0,Curarrehue,País de nacimiento no declarado,0
9,La Araucanía,91.0,Cautín,9105.0,Freire,Total nacidos fuera del país,229
9,La Araucanía,91.0,Cautín,9105.0,Freire,Argentina,96
9,La Araucanía,91.0,Cautín,9105.0,Freire,Bolivia (Estado Plurinacional de),*
9,La Araucanía,91.0,Cautín,9105.0,Freire,Colombia,*
9,La Araucanía,91.0,Cautín,9105.0,Freire,Haití,*
9,La Araucanía,91.0,Cautín,9105.0,Freire,Perú,*
9,La Araucanía,91.0,Cautín,9105.0,Freire,Venezuela (República Bolivariana de),*
9,La Araucanía,91.0,Cautín,9105.0,Freire,Otros países de América del Sur,*
9,La Araucanía,91.0,Cautín,9105.0,Freire,Otros países de América Central y El Caribe,*
9,La Araucanía,91.0,Cautín,9105.0,Freire,América del Norte,*
9,La Araucanía,91.0,Cautín,9105.0,Freire,Europa,*
9,La Araucanía,91.0,Cautín,9105.0,Freire,Asia,*
9,La Araucanía,91.0,Cautín,9105.0,Freire,África,0
9,La Araucanía,91.0,Cautín,9105.0,Freire,Oceanía,0
9,La Araucanía,91.0,Cautín,9105.0,Freire,País de nacimiento no declarado,0
9,La Araucanía,91.0,Cautín,9106.0,Galvarino,Total nacidos fuera del país,*
9,La Araucanía,91.0,Cautín,9106.0,Galvarino,Argentina,*
9,La Araucanía,91.0,Cautín,9106.0,Galvarino,Bolivia (Estado Plurinacional de),*
9,La Araucanía,91.0,Cautín,9106.0,Galvarino,Colombia,0
9,La Araucanía,91.0,Cautín,9106.0,Galvarino,Haití,*
9,La Araucanía,91.0,Cautín,9106.0,Galvarino,Perú,*
9,La Araucanía,91.0,Cautín,9106.0,Galvarino,Venezuela (República Bolivariana de),*
9,La Araucanía,91.0,Cautín,9106.0,Galvarino,Otros países de América del Sur,*
9,La Araucanía,91.0,Cautín,9106.0,Galvarino,Otros países de América Central y El Caribe,*
9,La Araucanía,91.0,Cautín,9106.0,Galvarino,América del Norte,*
9,La Araucanía,91.0,Cautín,9106.0,Galvarino,Europa,*
9,La Araucanía,91.0,Cautín,9106.0,Galvarino,Asia,*
9,La Araucanía,91.0,Cautín,9106.0,Galvarino,África,0
9,La Araucanía,91.0,Cautín,9106.0,Galvarino,Oceanía,*
9,La Araucanía,91.0,Cautín,9106.0,Galvarino,País de nacimiento no declarado,0
9,La Araucanía,91.0,Cautín,9107.0,Gorbea,Total nacidos fuera del país,170
9,La Araucanía,91.0,Cautín,9107.0,Gorbea,Argentina,73
9,La Araucanía,91.0,Cautín,9107.0,Gorbea,Bolivia (Estado Plurinacional de),*
9,La Araucanía,91.0,Cautín,9107.0,Gorbea,Colombia,*
9,La Araucanía,91.0,Cautín,9107.0,Gorbea,Haití,*
9,La Araucanía,91.0,Cautín,9107.0,Gorbea,Perú,*
9,La Araucanía,91.0,Cautín,9107.0,Gorbea,Venezuela (República Bolivariana de),*
9,La Araucanía,91.0,Cautín,9107.0,Gorbea,Otros países de América del Sur,*
9,La Araucanía,91.0,Cautín,9107.0,Gorbea,Otros países de América Central y El Caribe,*
9,La Araucanía,91.0,Cautín,9107.0,Gorbea,América del Norte,0
9,La Araucanía,91.0,Cautín,9107.0,Gorbea,Europa,*
9,La Araucanía,91.0,Cautín,9107.0,Gorbea,Asia,*
