Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Población censada,Hombres,Mujeres,Razón hombre-mujer
10,Los Lagos,101.0,Llanquihue,10101.0,Puerto Montt,277040.0,136544.0,140496.0,97.2
10,Los Lagos,101.0,Llanquihue,10102.0,Calbuco,36474.0,18374.0,18100.0,101.5
10,Los Lagos,101.0,Llanquihue,10103.0,Cochamó,4199.0,2213.0,1986.0,111.4
10,Los Lagos,101.0,Llanquihue,10104.0,Fresia,12320.0,6102.0,6218.0,98.1
10,Los Lagos,101.0,Llanquihue,10105.0,Frutillar,22554.0,11034.0,11520.0,95.8
10,Los Lagos,101.0,Llanquihue,10106.0,Los Muermos,17162.0,8620.0,8542.0,100.9
10,Los Lagos,101.0,Llanquihue,10107.0,Llanquihue,18088.0,8826.0,9262.0,95.3
10,Los Lagos,101.0,Llanquihue,10108.0,Maullín,15063.0,7651.0,7412.0,103.2
10,Los Lagos,101.0,Llanquihue,10109.0,Puerto Varas,52942.0,25814.0,27128.0,95.2
10,Los Lagos,102.0,Chiloé,10201.0,Castro,46997.0,22832.0,24165.0,94.5
10,Los Lagos,102.0,Chiloé,10202.0,Ancud,40949.0,19981.0,20968.0,95.3
10,Los Lagos,102.0,Chiloé,10203.0,Chonchi,16078.0,7896.0,8182.0,96.5
10,Los Lagos,102.0,Chiloé,10204.0,Curaco de Vélez,3662.0,1774.0,1888.0,94.0
10,Los Lagos,102.0,Chiloé,10205.0,Dalcahue,14894.0,7403.0,7491.0,98.8
10,Los Lagos,102.0,Chiloé,10206.0,Puqueldón,4048.0,2021.0,2027.0,99.7
10,Los Lagos,102.0,Chiloé,10207.0,Queilén,5690.0,2859.0,2831.0,101.0
10,Los Lagos,102.0,Chiloé,10208.0,Quellón,28460.0,14339.0,14121.0,101.5
10,Los Lagos,102.0,Chiloé,10209.0,Quemchi,8409.0,4239.0,4170.0,101.7
10,Los Lagos,102.0,Chiloé,10210.0,Quinchao,7678.0,3727.0,3951.0,94.3
10,Los Lagos,103.0,Osorno,10301.0,Osorno,166455.0,79484.0,86971.0,91.4
10,Los Lagos,103.0,Osorno,10302.0,Puerto Octay,8865.0,4517.0,4348.0,103.9
10,Los Lagos,103.0,Osorno,10303.0,Purranque,19542.0,9515.0,10027.0,94.9
10,Los Lagos,103.0,Osorno,10304.0,Puyehue,11712.0,5782.0,5930.0,97.5
10,Los Lagos,103.0,Osorno,10305.0,Río Negro,13874.0,6840.0,7034.0,97.2
10,Los Lagos,103.0,Osorno,10306.0,San Juan de la Costa,7776.0,4042.0,3734.0,108.2
10,Los Lagos,103.0,Osorno,10307.0,San Pablo,10883.0,5357.0,5526.0,96.9
10,Los Lagos,104.0,Palena,10401.0,Chaitén,4025.0,2085.0,1940.0,107.5
10,Los Lagos,104.0,Palena,10402.0,Futaleufú,3062.0,1542.0,1520.0,101.4
10,Los Lagos,104.0,Palena,10403.0,Hualaihué,9480.0,4910.0,4570.0,107.4
10,Los Lagos,104.0,Palena,10404.0,Palena,1903.0,946.0,957.0,98.9
