Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Población censada,Hombres,Mujeres,Razón hombre-mujer
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11101.0,Coyhaique,57823.0,28170.0,29653.0,95.0
11,Aysén del General Carlos Ibáñez del Campo,111.0,Coyhaique,11102.0,Lago Verde,779.0,427.0,352.0,121.3
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11201.0,Aysén,23170.0,11522.0,11648.0,98.9
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11202.0,Cisnes,5137.0,2598.0,2539.0,102.3
11,Aysén del General Carlos Ibáñez del Campo,112.0,Aysén,11203.0,Guaitecas,1598.0,857.0,741.0,115.7
11,Aysén del General Carlos Ibáñez del Campo,113.0,Capitán Prat,11301.0,Cochrane,3458.0,1779.0,1679.0,106.0
11,Aysén del General Carlos Ibáñez del Campo,113.0,Capitán Prat,11302.0,O'Higgins,647.0,331.0,316.0,104.7
11,Aysén del General Carlos Ibáñez del Campo,113.0,Capitán Prat,11303.0,Tortel,505.0,269.0,236.0,114.0
11,Aysén del General Carlos Ibáñez del Campo,114.0,General Carrera,11401.0,Chile Chico,4905.0,2478.0,2427.0,102.1
11,Aysén del General Carlos Ibáñez del Campo,114.0,General Carrera,11402.0,Río Ibáñez,2723.0,1410.0,1313.0,107.4
