Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Población censada,Hombres,Mujeres,Razón hombre-mujer
12,Magallanes y de la Antártica Chilena,121.0,Magallanes,12101.0,Punta Arenas,132363.0,65028.0,67335.0,96.6
12,Magallanes y de la Antártica Chilena,121.0,Magallanes,12102.0,Laguna Blanca,269.0,187.0,82.0,228.0
12,Magallanes y de la Antártica Chilena,121.0,Magallanes,12103.0,Río Verde,102.0,72.0,30.0,240.0
12,Magallanes y de la Antártica Chilena,121.0,Magallanes,12104.0,San Gregorio,241.0,151.0,90.0,167.8
12,Magallanes y de la Antártica Chilena,122.0,Antártica Chilena,12201.0,Cabo de Hornos,1750.0,881.0,869.0,101.4
12,Magallanes y de la Antártica Chilena,122.0,Antártica Chilena,12202.0,Antártica,60.0,56.0,4.0,1400.0
12,Magallanes y de la Antártica Chilena,123.0,Tierra del Fuego,12301.0,Porvenir,6809.0,3592.0,3217.0,111.7
12,Magallanes y de la Antártica Chilena,123.0,Tierra del Fuego,12302.0,Primavera,431.0,237.0,194.0,122.2
12,Magallanes y de la Antártica Chilena,123.0,Tierra del Fuego,12303.0,Timaukel,157.0,95.0,62.0,153.2
12,Magallanes y de la Antártica Chilena,124.0,Última Esperanza,12401.0,Natales,24152.0,12064.0,12088.0,99.8
12,Magallanes y de la Antártica Chilena,124.0,Última Esperanza,12402.0,Torres del Paine,203.0,118.0,85.0,138.8
