Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Población censada,Hombres,Mujeres,Razón hombre-mujer
14,Los Ríos,141.0,Valdivia,14101.0,Valdivia,170043.0,81660.0,88383.0,92.4
14,Los Ríos,141.0,Valdivia,14102.0,Corral,5501.0,2746.0,2755.0,99.7
14,Los Ríos,141.0,Valdivia,14103.0,Lanco,16876.0,8133.0,8743.0,93.0
14,Los Ríos,141.0,Valdivia,14104.0,Los Lagos,21431.0,10596.0,10835.0,97.8
14,Los Ríos,141.0,Valdivia,14105.0,Máfil,8074.0,3947.0,4127.0,95.6
14,Los Ríos,141.0,Valdivia,14106.0,Mariquina,22973.0,11180.0,11793.0,94.8
14,Los Ríos,141.0,Valdivia,14107.0,Paillaco,19802.0,9535.0,10267.0,92.9
14,Los Ríos,141.0,Valdivia,14108.0,Panguipulli,35098.0,17044.0,18054.0,94.4
14,Los Ríos,142.0,Ranco,14201.0,La Unión,38907.0,18865.0,20042.0,94.1
14,Los Ríos,142.0,Ranco,14202.0,Futrono,15635.0,7615.0,8020.0,95.0
14,Los Ríos,142.0,Ranco,14203.0,Lago Ranco,10527.0,5181.0,5346.0,96.9
14,Los Ríos,142.0,Ranco,14204.0,Río Bueno,33363.0,16232.0,17131.0,94.8
