Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Población censada,Hombres,Mujeres,Razón hombre-mujer
16,Ñuble,161.0,Diguillín,16101.0,Chillán,190382.0,89482.0,100900.0,88.7
16,Ñuble,161.0,Diguillín,16102.0,Bulnes,23863.0,11472.0,12391.0,92.6
16,Ñuble,161.0,Diguillín,16103.0,Chillán Viejo,32688.0,15486.0,17202.0,90.0
16,Ñuble,161.0,Diguillín,16104.0,El Carmen,13186.0,6548.0,6638.0,98.6
16,Ñuble,161.0,Diguillín,16105.0,Pemuco,8930.0,4416.0,4514.0,97.8
16,Ñuble,161.0,Diguillín,16106.0,Pinto,12502.0,6120.0,6382.0,95.9
16,Ñuble,161.0,Diguillín,16107.0,Quillón,19165.0,9375.0,9790.0,95.8
16,Ñuble,161.0,Diguillín,16108.0,San Ignacio,17405.0,8556.0,8849.0,96.7
16,Ñuble,161.0,Diguillín,16109.0,Yungay,18680.0,9232.0,9448.0,97.7
16,Ñuble,162.0,Itata,16201.0,Quirihue,11746.0,5685.0,6061.0,93.8
16,Ñuble,162.0,Itata,16202.0,Cobquecura,5495.0,2693.0,2802.0,96.1
16,Ñuble,162.0,Itata,16203.0,Coelemu,15895.0,7760.0,8135.0,95.4
16,Ñuble,162.0,Itata,16204.0,Ninhue,5763.0,2831.0,2932.0,96.6
16,Ñuble,162.0,Itata,16205.0,Portezuelo,5203.0,2588.0,2615.0,99.0
16,Ñuble,162.0,Itata,16206.0,Ránquil,6508.0,3197.0,3311.0,96.6
16,Ñuble,162.0,Itata,16207.0,Trehuaco,6124.0,3069.0,3055.0,100.5
16,Ñuble,163.0,Punilla,16301.0,San Carlos,55847.0,26745.0,29102.0,91.9
16,Ñuble,163.0,Punilla,16302.0,Coihueco,29766.0,14681.0,15085.0,97.3
16,Ñuble,163.0,Punilla,16303.0,Ñiquén,12797.0,6416.0,6381.0,100.5
16,Ñuble,163.0,Punilla,16304.0,San Fabián,5245.0,2569.0,2676.0,96.0
16,Ñuble,163.0,Punilla,16305.0,San Nicolás,15099.0,7516.0,7583.0,99.1
