Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Población censada,Hombres,Mujeres,Razón hombre-mujer
4,Coquimbo,41.0,Elqui,4101.0,La Serena,250141.0,120407.0,129734.0,92.8
4,Coquimbo,41.0,Elqui,4102.0,Coquimbo,263719.0,127926.0,135793.0,94.2
4,Coquimbo,41.0,Elqui,4103.0,Andacollo,11566.0,5800.0,5766.0,100.6
4,Coquimbo,41.0,Elqui,4104.0,La Higuera,4335.0,2299.0,2036.0,112.9
4,Coquimbo,41.0,Elqui,4105.0,Paiguano,4649.0,2310.0,2339.0,98.8
4,Coquimbo,41.0,Elqui,4106.0,Vicuña,28047.0,13738.0,14309.0,96.0
4,Coquimbo,42.0,Choapa,4201.0,Illapel,32009.0,15548.0,16461.0,94.5
4,Coquimbo,42.0,Choapa,4202.0,Canela,9639.0,4869.0,4770.0,102.1
4,Coquimbo,42.0,Choapa,4203.0,Los Vilos,22879.0,11281.0,11598.0,97.3
4,Coquimbo,42.0,Choapa,4204.0,Salamanca,27823.0,13772.0,14051.0,98.0
4,Coquimbo,43.0,Limarí,4301.0,Ovalle,118696.0,57311.0,61385.0,93.4
4,Coquimbo,43.0,Limarí,4302.0,Combarbalá,12954.0,6305.0,6649.0,94.8
4,Coquimbo,43.0,Limarí,4303.0,Monte Patria,29997.0,14703.0,15294.0,96.1
4,Coquimbo,43.0,Limarí,4304.0,Punitaqui,12076.0,5975.0,6101.0,97.9
4,Coquimbo,43.0,Limarí,4305.0,Río Hurtado,4334.0,2153.0,2181.0,98.7
