Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Población censada,Hombres,Mujeres,Razón hombre-mujer
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6101.0,Rancagua,257744.0,125172.0,132572.0,94.4
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6102.0,Codegua,13955.0,6885.0,7070.0,97.4
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6103.0,Coinco,7916.0,3906.0,4010.0,97.4
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6104.0,Coltauco,21373.0,10653.0,10720.0,99.4
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6105.0,Doñihue,21925.0,10706.0,11219.0,95.4
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6106.0,Graneros,35938.0,17613.0,18325.0,96.1
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6107.0,Las Cabras,27554.0,13900.0,13654.0,101.8
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6108.0,Machalí,60875.0,29507.0,31368.0,94.1
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6109.0,Malloa,13882.0,6950.0,6932.0,100.3
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6110.0,Mostazal,27394.0,13521.0,13873.0,97.5
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6111.0,Olivar,13901.0,6870.0,7031.0,97.7
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6112.0,Peumo,14243.0,7115.0,7128.0,99.8
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6113.0,Pichidegua,20363.0,10152.0,10211.0,99.4
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6114.0,Quinta de Tilcoco,13558.0,6648.0,6910.0,96.2
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6115.0,Rengo,63620.0,30925.0,32695.0,94.6
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6116.0,Requínoa,29508.0,14588.0,14920.0,97.8
6,Libertador General Bernardo O'Higgins,61.0,Cachapoal,6117.0,San Vicente,49559.0,24340.0,25219.0,96.5
6,Libertador General Bernardo O'Higgins,62.0,Cardenal Caro,6201.0,Pichilemu,19847.0,9744.0,10103.0,96.4
6,Libertador General Bernardo O'Higgins,62.0,Cardenal Caro,6202.0,La Estrella,4609.0,2343.0,2266.0,103.4
6,Libertador General Bernardo O'Higgins,62.0,Cardenal Caro,6203.0,Litueche,8852.0,4443.0,4409.0,100.8
6,Libertador General Bernardo O'Higgins,62.0,Cardenal Caro,6204.0,Marchihue,8715.0,4347.0,4368.0,99.5
6,Libertador General Bernardo O'Higgins,62.0,Cardenal Caro,6205.0,Navidad,8885.0,4521.0,4364.0,103.6
6,Libertador General Bernardo O'Higgins,62.0,Cardenal Caro,6206.0,Paredones,7228.0,3667.0,3561.0,103.0
6,Libertador General Bernardo O'Higgins,63.0,Colchagua,6301.0,San Fernando,75585.0,36247.0,39338.0,92.1
6,Libertador General Bernardo O'Higgins,63.0,Colchagua,6302.0,Chépica,15668.0,7737.0,7931.0,97.6
6,Libertador General Bernardo O'Higgins,63.0,Colchagua,6303.0,Chimbarongo,37258.0,18467.0,18791.0,98.3
6,Libertador General Bernardo O'Higgins,63.0,Colchagua,6304.0,Lolol,7791.0,3926.0,3865.0,101.6
6,Libertador General Bernardo O'Higgins,63.0,Colchagua,6305.0,Nancagua,18723.0,9222.0,9501.0,97.1
6,Libertador General Bernardo O'Higgins,63.0,Colchagua,6306.0,Palmilla,13060.0,6547.0,6513.0,100.5
6,Libertador General Bernardo O'Higgins,63.0,Colchagua,6307.0,Peralillo,12493.0,6211.0,6282.0,98.9
6,Libertador General Bernardo O'Higgins,63.0,Colchagua,6308.0,Placilla,9438.0,4739.0,4699.0,100.9
6,Libertador General Bernardo O'Higgins,63.0,Colchagua,6309.0,Pumanque,4559.0,2299.0,2260.0,101.7
6,Libertador General Bernardo O'Higgins,63.0,Colchagua,6310.0,Santa Cruz,41209.0,20037.0,21172.0,94.6
