Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Población censada,Hombres,Mujeres,Razón hombre-mujer
7,Maule,71.0,Talca,7101.0,Talca,232131.0,110996.0,121135.0,91.6
7,Maule,71.0,Talca,7102.0,Constitución,47004.0,23154.0,23850.0,97.1
7,Maule,71.0,Talca,7103.0,Curepto,9519.0,4876.0,4643.0,105.0
7,Maule,71.0,Talca,7104.0,Empedrado,3990.0,2046.0,1944.0,105.2
7,Maule,71.0,Talca,7105.0,Maule,61081.0,29505.0,31576.0,93.4
7,Maule,71.0,Talca,7106.0,Pelarco,9229.0,4592.0,4637.0,99.0
7,Maule,71.0,Talca,7107.0,Pencahue,9181.0,4641.0,4540.0,102.2
7,Maule,71.0,Talca,7108.0,Río Claro,14276.0,7195.0,7081.0,101.6
7,Maule,71.0,Talca,7109.0,San Clemente,47380.0,23424.0,23956.0,97.8
7,Maule,71.0,Talca,7110.0,San Rafael,11230.0,5552.0,5678.0,97.8
7,Maule,72.0,Cauquenes,7201.0,Cauquenes,42798.0,20295.0,22503.0,90.2
7,Maule,72.0,Cauquenes,7202.0,Chanco,9446.0,4698.0,4748.0,98.9
7,Maule,72.0,Cauquenes,7203.0,Pelluhue,8578.0,4158.0,4420.0,94.1
7,Maule,73.0,Curicó,7301.0,Curicó,159968.0,77105.0,82863.0,93.1
7,Maule,73.0,Curicó,7302.0,Hualañé,10775.0,5392.0,5383.0,100.2
7,Maule,73.0,Curicó,7303.0,Licantén,6892.0,3372.0,3520.0,95.8
7,Maule,73.0,Curicó,7304.0,Molina,48949.0,23906.0,25043.0,95.5
7,Maule,73.0,Curicó,7305.0,Rauco,11266.0,5613.0,5653.0,99.3
7,Maule,73.0,Curicó,7306.0,Romeral,17233.0,8448.0,8785.0,96.2
7,Maule,73.0,Curicó,7307.0,Sagrada Familia,19427.0,9751.0,9676.0,100.8
7,Maule,73.0,Curicó,7308.0,Teno,30113.0,14982.0,15131.0,99.0
7,Maule,73.0,Curicó,7309.0,Vichuquén,4716.0,2426.0,2290.0,105.9
7,Maule,74.0,Linares,7401.0,Linares,96744.0,46158.0,50586.0,91.2
7,Maule,74.0,Linares,7402.0,Colbún,22637.0,11087.0,11550.0,96.0
7,Maule,74.0,Linares,7403.0,Longaví,33299.0,16598.0,16701.0,99.4
7,Maule,74.0,Linares,7404.0,Parral,45323.0,21848.0,23475.0,93.1
7,Maule,74.0,Linares,7405.0,Retiro,22310.0,11082.0,11228.0,98.7
7,Maule,74.0,Linares,7406.0,San Javier,49559.0,23732.0,25827.0,91.9
7,Maule,74.0,Linares,7407.0,Villa Alegre,17919.0,8616.0,9303.0,92.6
7,Maule,74.0,Linares,7408.0,Yerbas Buenas,20035.0,10007.0,10028.0,99.8
