Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Población censada,Hombres,Mujeres,Razón hombre-mujer
8,Biobío,81.0,Concepción,8101.0,Concepción,230375.0,110985.0,119390.0,93.0
8,Biobío,81.0,Concepción,8102.0,Coronel,123648.0,59274.0,64374.0,92.1
8,Biobío,81.0,Concepción,8103.0,Chiguayante,85822.0,40464.0,45358.0,89.2
8,Biobío,81.0,Concepción,8104.0,Florida,12958.0,6455.0,6503.0,99.3
8,Biobío,81.0,Concepción,8105.0,Hualqui,25795.0,12388.0,13407.0,92.4
8,Biobío,81.0,Concepción,8106.0,Lota,39980.0,19342.0,20638.0,93.7
8,Biobío,81.0,Concepción,8107.0,Penco,48971.0,23370.0,25601.0,91.3
8,Biobío,81.0,Concepción,8108.0,San Pedro de La paz,150992.0,72262.0,78730.0,91.8
8,Biobío,81.0,Concepción,8109.0,Santa Juana,14947.0,7203.0,7744.0,93.0
8,Biobío,81.0,Concepción,8110.0,Talcahuano,147322.0,70548.0,76774.0,91.9
8,Biobío,81.0,Concepción,8111.0,Tomé,56907.0,26964.0,29943.0,90.1
8,Biobío,81.0,Concepción,8112.0,Hualpén,87731.0,41521.0,46210.0,89.9
8,Biobío,82.0,Arauco,8201.0,Lebu,25246.0,12333.0,12913.0,95.5
8,Biobío,82.0,Arauco,8202.0,Arauco,37163.0,18128.0,19035.0,95.2
8,Biobío,82.0,Arauco,8203.0,Cañete,34640.0,16602.0,18038.0,92.0
8,Biobío,82.0,Arauco,8204.0,Contulmo,5905.0,2925.0,2980.0,98.2
8,Biobío,82.0,Arauco,8205.0,Curanilahue,31119.0,15127.0,15992.0,94.6
8,Biobío,82.0,Arauco,8206.0,Los Álamos,21950.0,10581.0,11369.0,93.1
8,Biobío,82.0,Arauco,8207.0,Tirúa,10208.0,5023.0,5185.0,96.9
8,Biobío,83.0,Biobío,8301.0,Los Ángeles,219441.0,105436.0,114005.0,92.5
8,Biobío,83.0,Biobío,8302.0,Antuco,4373.0,2125.0,2248.0,94.5
8,Biobío,83.0,Biobío,8303.0,Cabrero,31256.0,15264.0,15992.0,95.4
8,Biobío,83.0,Biobío,8304.0,Laja,23706.0,11451.0,12255.0,93.4
8,Biobío,83.0,Biobío,8305.0,Mulchén,29036.0,14093.0,14943.0,94.3
8,Biobío,83.0,Biobío,8306.0,Nacimiento,26140.0,12790.0,13350.0,95.8
8,Biobío,83.0,Biobío,8307.0,Negrete,10723.0,5273.0,5450.0,96.8
8,Biobío,83.0,Biobío,8308.0,Quilaco,4440.0,2210.0,2230.0,99.1
8,Biobío,83.0,Biobío,8309.0,Quilleco,9700.0,4826.0,4874.0,99.0
8,Biobío,83.0,Biobío,8310.0,San Rosendo,3575.0,1753.0,1822.0,96.2
8,Biobío,83.0,Biobío,8311.0,Santa Bárbara,14075.0,6847.0,7228.0,94.7
8,Biobío,83.0,Biobío,8312.0,Tucapel,15729.0,7568.0,8161.0,92.7
8,Biobío,83.0,Biobío,8313.0,Yumbel,23170.0,11359.0,11811.0,96.2
8,Biobío,83.0,Biobío,8314.0,Alto Biobío,6016.0,3005.0,3011.0,99.8
