Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Población censada,Hombres,Mujeres,Razón hombre-mujer
9,La Araucanía,91.0,Cautín,9101.0,Temuco,292518.0,138163.0,154355.0,89.5
9,La Araucanía,91.0,Cautín,9102.0,Carahue,24957.0,12208.0,12749.0,95.8
9,La Araucanía,91.0,Cautín,9103.0,Cunco,19177.0,9368.0,9809.0,95.5
9,La Araucanía,91.0,Cautín,9104.0,Curarrehue,7733.0,3901.0,3832.0,101.8
9,La Araucanía,91.0,Cautín,9105.0,Freire,26164.0,13029.0,13135.0,99.2
9,La Araucanía,91.0,Cautín,9106.0,Galvarino,12710.0,6360.0,6350.0,100.2
9,La Araucanía,91.0,Cautín,9107.0,Gorbea,14148.0,6778.0,7370.0,92.0
9,La Araucanía,91.0,Cautín,9108.0,Lautaro,41936.0,20197.0,21739.0,92.9
9,La Araucanía,91.0,Cautín,9109.0,Loncoche,25158.0,12201.0,12957.0,94.2
9,La Araucanía,91.0,Cautín,9110.0,Melipeuco,6796.0,3342.0,3454.0,96.8
9,La Araucanía,91.0,Cautín,9111.0,Nueva Imperial,33988.0,16546.0,17442.0,94.9
9,La Araucanía,91.0,Cautín,9112.0,Padre Las Casas,80656.0,38960.0,41696.0,93.4
9,La Araucanía,91.0,Cautín,9113.0,Perquenco,7438.0,3631.0,3807.0,95.4
9,La Araucanía,91.0,Cautín,9114.0,Pitrufquén,27041.0,12988.0,14053.0,92.4
9,La Araucanía,91.0,Cautín,9115.0,Pucón,32321.0,15767.0,16554.0,95.2
9,La Araucanía,91.0,Cautín,9116.0,Saavedra,12877.0,6275.0,6602.0,95.0
9,La Araucanía,91.0,Cautín,9117.0,Teodoro Schmidt,15639.0,7758.0,7881.0,98.4
9,La Araucanía,91.0,Cautín,9118.0,Toltén,10041.0,4941.0,5100.0,96.9
9,La Araucanía,91.0,Cautín,9119.0,Vilcún,31575.0,15386.0,16189.0,95.0
9,La Araucanía,91.0,Cautín,9120.0,Villarrica,67737.0,32807.0,34930.0,93.9
9,La Araucanía,91.0,Cautín,9121.0,Cholchol,13167.0,6578.0,6589.0,99.8
9,La Araucanía,92.0,Malleco,9201.0,Angol,53022.0,25143.0,27879.0,90.2
9,La Araucanía,92.0,Malleco,9202.0,Collipulli,24303.0,11731.0,12572.0,93.3
9,La Araucanía,92.0,Malleco,9203.0,Curacautín,18536.0,8944.0,9592.0,93.2
9,La Araucanía,92.0,Malleco,9204.0,Ercilla,7730.0,3750.0,3980.0,94.2
9,La Araucanía,92.0,Malleco,9205.0,Lonquimay,10247.0,5125.0,5122.0,100.1
9,La Araucanía,92.0,Malleco,9206.0,Los Sauces,7348.0,3636.0,3712.0,98.0
9,La Araucanía,92.0,Malleco,9207.0,Lumaco,9253.0,4691.0,4562.0,102.8
9,La Araucanía,92.0,Malleco,9208.0,Purén,12184.0,5793.0,6391.0,90.6
9,La Araucanía,92.0,Malleco,9209.0,Renaico,10686.0,5150.0,5536.0,93.0
9,La Araucanía,92.0,Malleco,9210.0,Traiguén,18873.0,8971.0,9902.0,90.6
9,La Araucanía,92.0,Malleco,9211.0,Victoria,34464.0,16600.0,17864.0,92.9
