Código comuna,Comuna,REGIÓN,BENEFICIARIOS_CHILENOS,BENEFICIARIOS_EXTRANJEROS,TOTAL_BENEFICIARIOS,PORCENTAJE_EXTRANJEROS
15101,arica,De Arica Y Parinacota,193880,47089,240969,19.54
15102,camarones,De Arica Y Parinacota,68,131,199,65.83
15201,putre,De Arica Y Parinacota,319,304,623,48.8
15202,general lagos,De Arica Y Parinacota,102,151,253,59.68
1101,iquique,De Tarapacá,146848,54352,201200,27.01
1107,alto hospicio,De Tarapacá,95266,33182,128448,25.83
1401,pozo almonte,De Tarapacá,13689,5012,18701,26.8
1402,camiña,De Tarapacá,827,377,1204,31.31
1403,colchane,De Tarapacá,926,440,1366,32.21
1404,huara,De Tarapacá,2311,1023,3334,30.68
1405,pica,De Tarapacá,5647,2466,8113,30.4
2101,antofagasta,De Antofagasta,263334,86784,350118,24.79
2102,mejillones,De Antofagasta,4917,4179,9096,45.94
2103,sierra gorda,De Antofagasta,385,532,917,58.02
2104,taltal,De Antofagasta,6158,913,7071,12.91
2201,calama,De Antofagasta,112470,41553,154023,26.98
2202,ollagüe,De Antofagasta,32,33,65,50.77
2203,san pedro de atacama,De Antofagasta,8787,3845,12632,30.44
2301,tocopilla,De Antofagasta,14630,2542,17172,14.8
2302,maría elena,De Antofagasta,1915,739,2654,27.84
3101,copiapó,De Atacama,131099,21110,152209,13.87
3102,caldera,De Atacama,18888,1675,20563,8.15
3103,tierra amarilla,De Atacama,16339,1630,17969,9.07
3201,chañaral,De Atacama,12713,635,13348,4.76
3202,diego de almagro,De Atacama,9119,864,9983,8.65
3301,vallenar,De Atacama,48718,3530,52248,6.76
3302,alto del carmen,De Atacama,4904,135,5039,2.68
3303,freirina,De Atacama,8638,157,8795,1.79
3304,huasco,De Atacama,9104,779,9883,7.88
4101,la serena,De Coquimbo,220665,16675,237340,7.03
4102,coquimbo,De Coquimbo,223111,16256,239367,6.79
4103,andacollo,De Coquimbo,6325,83,6408,1.3
4104,la higuera,De Coquimbo,1399,95,1494,6.36
4105,paiguano,De Coquimbo,2905,115,3020,3.81
4106,vicuña,De Coquimbo,21991,1484,23475,6.32
4201,illapel,De Coquimbo,31313,1013,32326,3.13
4202,canela,De Coquimbo,10276,144,10420,1.38
4203,los vilos,De Coquimbo,14552,1941,16493,11.77
4204,salamanca,De Coquimbo,21096,1326,22422,5.91
4301,ovalle,De Coquimbo,112160,5359,117519,4.56
4302,combarbalá,De Coquimbo,9376,196,9572,2.05
4303,monte patria,De Coquimbo,32158,657,32815,2.0
4304,punitaqui,De Coquimbo,13354,313,13667,2.29
4305,río hurtado,De Coquimbo,4566,56,4622,1.21
5101,valparaíso,De Valparaíso,269348,14499,283847,5.11
5102,casablanca,De Valparaíso,22591,2018,24609,8.2
5103,concón,De Valparaíso,35870,4598,40468,11.36
5104,juan fernández,De Valparaíso,409,11,420,2.62
5105,puchuncaví,De Valparaíso,20035,1055,21090,5.0
5107,quintero,De Valparaíso,25627,1540,27167,5.67
5109,viña del mar,De Valparaíso,266455,21570,288025,7.49
5201,isla de pascua,De Valparaíso,3269,307,3576,8.59
5301,los andes,De Valparaíso,52974,5052,58026,8.71
5302,calle larga,De Valparaíso,14291,609,14900,4.09
5303,rinconada,De Valparaíso,11636,386,12022,3.21
5304,san esteban,De Valparaíso,17147,629,17776,3.54
5401,la ligua,De Valparaíso,36102,2335,38437,6.07
5402,cabildo,De Valparaíso,15305,590,15895,3.71
5403,papudo,De Valparaíso,6712,450,7162,6.28
5404,petorca,De Valparaíso,9914,381,10295,3.7
5405,zapallar,De Valparaíso,9280,472,9752,4.84
5501,quillota,De Valparaíso,87260,9031,96291,9.38
5502,calera,De Valparaíso,43919,3305,47224,7.0
5503,hijuelas,De Valparaíso,20048,1124,21172,5.31
5504,la cruz,De Valparaíso,20730,1539,22269,6.91
5506,nogales,De Valparaíso,21663,606,22269,2.72
5601,san antonio,De Valparaíso,86160,6087,92247,6.6
5602,algarrobo,De Valparaíso,16212,1059,17271,6.13
5603,cartagena,De Valparaíso,27490,1746,29236,5.97
5604,el quisco,De Valparaíso,18457,2252,20709,10.87
