Código región,Región,Provincia,Código comuna,Comuna,total_poblacion,total_poblacion_migrante,porcentaje_migrante_total,porcentaje_migrante_fonasa,ruralidad,nivel_promedio,desviacion_estandar,Total_centros,promedio_pacientes,porcentaje_migrantes_promedio,Area,tasa_centros_10k,tasa_atenciones_10k,densidad_poblacional
1,Tarapacá,Iquique,1101,Iquique,199587.0,40655,20.37,27.01,0.0228399051928462,2.166558931264813,0.6341311976315218,12.0,14768.083333333334,20.08,2262.0,0.6,739.93,88.23
1,Tarapacá,Iquique,1107,Alto Hospicio,142086.0,37628,26.48,25.83,0.0129324280633689,3.358874878758487,2.9306925084206727,8.0,9143.833333333334,15.01,573.0,0.56,643.54,247.97
1,Tarapacá,Del Tamarugal,1401,Pozo Almonte,16878.0,3695,21.89,26.8,0.4235033259423504,4.423503325942351,0.4941136092621996,5.0,1738.1666666666667,12.82,13766.0,2.96,1029.84,1.23
1,Tarapacá,Del Tamarugal,1402,Camiña,1335.0,245,18.35,31.31,1.0,4.0,0.0,3.0,413.9166666666667,21.3,2200.0,22.47,3100.5,0.61
1,Tarapacá,Del Tamarugal,1403,Colchane,790.0,338,42.78,32.21,1.0,1.0,0.0,5.0,331.25,36.23,4016.0,63.29,4193.04,0.2
1,Tarapacá,Del Tamarugal,1404,Huara,2858.0,688,24.07,30.68,0.6802721088435375,1.0,0.0,8.0,476.9166666666667,23.1,10475.0,27.99,1668.71,0.27
1,Tarapacá,Del Tamarugal,1405,Pica,6272.0,1686,26.88,30.4,0.3636363636363635,4.0,0.0,4.0,902.4166666666666,17.05,8934.0,6.38,1438.8,0.7
2,Antofagasta,Antofagasta,2101,Antofagasta,401096.0,76793,19.15,24.79,0.0104515050167224,1.8651755852842808,0.6851931123973967,17.0,22050.166666666668,17.68,30718.0,0.42,549.75,13.06
2,Antofagasta,Antofagasta,2102,Mejillones,14084.0,4202,29.84,45.94,0.1764705882352941,3.4705882352941178,1.143660123248446,2.0,1765.0,26.42,3804.0,1.42,1253.2,3.7
2,Antofagasta,Antofagasta,2103,Sierra Gorda,1472.0,468,31.79,58.02,1.0,6.0,0.0,4.0,318.1666666666667,15.19,12886.0,27.17,2161.46,0.11
2,Antofagasta,Antofagasta,2104,Taltal,12097.0,948,7.84,12.91,0.2699115044247788,4.0,0.0,2.0,1015.9166666666666,5.18,20405.0,1.65,839.81,0.59
2,Antofagasta,El Loa,2201,Calama,166334.0,35221,21.17,26.98,0.0740350877192983,2.0996491228070178,1.2063719203539711,13.0,8531.5,19.02,15597.0,0.78,512.91,10.66
2,Antofagasta,El Loa,2202,Ollagüe,256.0,62,24.22,50.77,,,,1.0,30.75,0.27,2964.0,39.06,1201.17,0.09
2,Antofagasta,El Loa,2203,San Pedro de Atacama,9843.0,2740,27.84,30.44,0.7806267806267806,4.0,0.0,7.0,953.75,28.44,23439.0,7.11,968.96,0.42
2,Antofagasta,Tocopilla,2301,Tocopilla,25400.0,2802,11.03,14.8,0.1133004926108374,4.0,0.0,1.0,996.6666666666666,11.96,4039.0,0.39,392.39,6.29
2,Antofagasta,Tocopilla,2302,María Elena,4834.0,770,15.93,27.84,0.0677966101694915,1.9322033898305084,0.2513965588845988,3.0,342.8333333333333,13.98,12197.0,6.21,709.21,0.4
3,Atacama,Copiapó,3101,Copiapó,168831.0,19207,11.38,13.87,0.0180161943319838,1.717408906882591,0.7679699874481243,11.0,10615.0,4.92,16681.0,0.65,628.74,10.12
3,Atacama,Copiapó,3102,Caldera,18805.0,1114,5.92,8.15,0.0821643286573146,6.0,0.0,2.0,1739.75,0.25,4667.0,1.06,925.15,4.03
3,Atacama,Copiapó,3103,Tierra Amarilla,11846.0,682,5.76,9.07,0.2714285714285713,1.8142857142857145,1.3340899213948614,3.0,1933.6666666666667,6.84,11191.0,2.53,1632.34,1.06
3,Atacama,Chañaral,3201,Chañaral,12345.0,463,3.75,4.76,0.0839506172839505,4.0,0.0,3.0,1691.5,0.12,5772.0,2.43,1370.19,2.14
3,Atacama,Chañaral,3202,Diego de Almagro,11397.0,735,6.45,8.65,0.0900473933649288,5.549763033175355,1.4312482341745496,4.0,1477.3333333333333,4.88,18664.0,3.51,1296.25,0.61
3,Atacama,Huasco,3301,Vallenar,54222.0,2336,4.31,6.76,0.1787671232876713,2.962328767123288,2.512833918680477,11.0,3045.6666666666665,2.1,7084.0,2.03,561.7,7.65
