Código región,Región,Provincia,Código comuna,Comuna,poblacion_total,País o continente de nacimiento,poblacion_migrante,porcentaje
11,Aysén del General Carlos Ibáñez del Campo,Coyhaique,11101,Coyhaique,57823.0,Total nacidos fuera del país,2505,4.33
11,Aysén del General Carlos Ibáñez del Campo,Coyhaique,11102,Lago Verde,779.0,Total nacidos fuera del país,0,0.0
11,Aysén del General Carlos Ibáñez del Campo,Aysén,11201,Aysén,23170.0,Total nacidos fuera del país,727,3.14
11,Aysén del General Carlos Ibáñez del Campo,Aysén,11202,Cisnes,5137.0,Total nacidos fuera del país,129,2.51
11,Aysén del General Carlos Ibáñez del Campo,Aysén,11203,Guaitecas,1598.0,Total nacidos fuera del país,65,4.07
11,Aysén del General Carlos Ibáñez del Campo,Capitán Prat,11301,Cochrane,3458.0,Total nacidos fuera del país,89,2.57
11,Aysén del General Carlos Ibáñez del Campo,Capitán Prat,11302,O'Higgins,647.0,Total nacidos fuera del país,0,0.0
11,Aysén del General Carlos Ibáñez del Campo,Capitán Prat,11303,Tortel,505.0,Total nacidos fuera del país,0,0.0
11,Aysén del General Carlos Ibáñez del Campo,General Carrera,11401,Chile Chico,4905.0,Total nacidos fuera del país,253,5.16
11,Aysén del General Carlos Ibáñez del Campo,General Carrera,11402,Río Ibáñez,2723.0,Total nacidos fuera del país,104,3.82
