Código región,Región,Provincia,Código comuna,Comuna,poblacion_total,País o continente de nacimiento,poblacion_migrante,porcentaje
12,Magallanes y de la Antártica Chilena,Magallanes,12101,Punta Arenas,132363.0,Total nacidos fuera del país,7991,6.04
12,Magallanes y de la Antártica Chilena,Magallanes,12102,Laguna Blanca,269.0,Total nacidos fuera del país,0,0.0
12,Magallanes y de la Antártica Chilena,Magallanes,12103,Río Verde,102.0,Total nacidos fuera del país,0,0.0
12,Magallanes y de la Antártica Chilena,Magallanes,12104,San Gregorio,241.0,Total nacidos fuera del país,0,0.0
12,Magallanes y de la Antártica Chilena,Antártica Chilena,12201,Cabo de Hornos,1750.0,Total nacidos fuera del país,0,0.0
12,Magallanes y de la Antártica Chilena,Antártica Chilena,12202,Antártica,60.0,Total nacidos fuera del país,0,0.0
12,Magallanes y de la Antártica Chilena,Tierra del Fuego,12301,Porvenir,6809.0,Total nacidos fuera del país,553,8.12
12,Magallanes y de la Antártica Chilena,Tierra del Fuego,12302,Primavera,431.0,Total nacidos fuera del país,0,0.0
12,Magallanes y de la Antártica Chilena,Tierra del Fuego,12303,Timaukel,157.0,Total nacidos fuera del país,0,0.0
12,Magallanes y de la Antártica Chilena,Última Esperanza,12401,Natales,24152.0,Total nacidos fuera del país,2338,9.68
12,Magallanes y de la Antártica Chilena,Última Esperanza,12402,Torres del Paine,203.0,Total nacidos fuera del país,0,0.0
