Código región,Región,Provincia,Código comuna,Comuna,poblacion_total,País o continente de nacimiento,poblacion_migrante,porcentaje
14,Los Ríos,Valdivia,14101,Valdivia,170043.0,Total nacidos fuera del país,5099,3.0
14,Los Ríos,Valdivia,14102,Corral,5501.0,Total nacidos fuera del país,52,0.95
14,Los Ríos,Valdivia,14103,Lanco,16876.0,Total nacidos fuera del país,140,0.83
14,Los Ríos,Valdivia,14104,Los Lagos,21431.0,Total nacidos fuera del país,258,1.2
14,Los Ríos,Valdivia,14105,Máfil,8074.0,Total nacidos fuera del país,77,0.95
14,Los Ríos,Valdivia,14106,Mariquina,22973.0,Total nacidos fuera del país,212,0.92
14,Los Ríos,Valdivia,14107,Paillaco,19802.0,Total nacidos fuera del país,222,1.12
14,Los Ríos,Valdivia,14108,Panguipulli,35098.0,Total nacidos fuera del país,493,1.4
14,Los Ríos,Ranco,14201,La Unión,38907.0,Total nacidos fuera del país,321,0.83
14,Los Ríos,Ranco,14202,Futrono,15635.0,Total nacidos fuera del país,216,1.38
14,Los Ríos,Ranco,14203,Lago Ranco,10527.0,Total nacidos fuera del país,93,0.88
14,Los Ríos,Ranco,14204,Río Bueno,33363.0,Total nacidos fuera del país,325,0.97
