Código región,Región,Provincia,Código comuna,Comuna,poblacion_total,País o continente de nacimiento,poblacion_migrante,porcentaje
5,Valparaíso,Valparaíso,5101,Valparaíso,284938.0,Total nacidos fuera del país,13223,4.64
5,Valparaíso,Valparaíso,5102,Casablanca,29876.0,Total nacidos fuera del país,2250,7.53
5,Valparaíso,Valparaíso,5103,Concón,48294.0,Total nacidos fuera del país,4065,8.42
5,Valparaíso,Valparaíso,5104,Juan Fernández,904.0,Total nacidos fuera del país,0,0.0
5,Valparaíso,Valparaíso,5105,Puchuncaví,22539.0,Total nacidos fuera del país,949,4.21
5,Valparaíso,Valparaíso,5107,Quintero,35754.0,Total nacidos fuera del país,1833,5.13
5,Valparaíso,Valparaíso,5109,Viña del Mar,334871.0,Total nacidos fuera del país,21597,6.45
5,Valparaíso,Isla de Pascua,5201,Isla de Pascua,4800.0,Total nacidos fuera del país,182,3.79
5,Valparaíso,Los Andes,5301,Los Andes,63440.0,Total nacidos fuera del país,4086,6.44
5,Valparaíso,Los Andes,5302,Calle Larga,16597.0,Total nacidos fuera del país,528,3.18
5,Valparaíso,Los Andes,5303,Rinconada,11855.0,Total nacidos fuera del país,379,3.2
5,Valparaíso,Los Andes,5304,San Esteban,20112.0,Total nacidos fuera del país,593,2.95
5,Valparaíso,Petorca,5401,La Ligua,39270.0,Total nacidos fuera del país,1651,4.2
5,Valparaíso,Petorca,5402,Cabildo,20015.0,Total nacidos fuera del país,461,2.3
5,Valparaíso,Petorca,5403,Papudo,7561.0,Total nacidos fuera del país,377,4.99
5,Valparaíso,Petorca,5404,Petorca,10206.0,Total nacidos fuera del país,199,1.95
5,Valparaíso,Petorca,5405,Zapallar,7980.0,Total nacidos fuera del país,228,2.86
5,Valparaíso,Quillota,5501,Quillota,96753.0,Total nacidos fuera del país,7951,8.22
5,Valparaíso,Quillota,5502,Calera,50631.0,Total nacidos fuera del país,2991,5.91
5,Valparaíso,Quillota,5503,Hijuelas,19286.0,Total nacidos fuera del país,832,4.31
5,Valparaíso,Quillota,5504,La Cruz,24939.0,Total nacidos fuera del país,1454,5.83
5,Valparaíso,Quillota,5506,Nogales,22136.0,Total nacidos fuera del país,528,2.39
5,Valparaíso,San Antonio,5601,San Antonio,96770.0,Total nacidos fuera del país,5216,5.39
5,Valparaíso,San Antonio,5602,Algarrobo,16076.0,Total nacidos fuera del país,701,4.36
5,Valparaíso,San Antonio,5603,Cartagena,24599.0,Total nacidos fuera del país,900,3.66
5,Valparaíso,San Antonio,5604,El Quisco,18971.0,Total nacidos fuera del país,1263,6.66
5,Valparaíso,San Antonio,5605,El Tabo,16260.0,Total nacidos fuera del país,472,2.9
5,Valparaíso,San Antonio,5606,Santo Domingo,13171.0,Total nacidos fuera del país,407,3.09
5,Valparaíso,San Felipe de Aconcagua,5701,San Felipe,80413.0,Total nacidos fuera del país,8232,10.24
5,Valparaíso,San Felipe de Aconcagua,5702,Catemu,13760.0,Total nacidos fuera del país,284,2.06
5,Valparaíso,San Felipe de Aconcagua,5703,Llaillay,25484.0,Total nacidos fuera del país,1015,3.98
5,Valparaíso,San Felipe de Aconcagua,5704,Panquehue,7269.0,Total nacidos fuera del país,91,1.25
5,Valparaíso,San Felipe de Aconcagua,5705,Putaendo,17336.0,Total nacidos fuera del país,349,2.01
5,Valparaíso,San Felipe de Aconcagua,5706,Santa María,15134.0,Total nacidos fuera del país,392,2.59
5,Valparaíso,Marga Marga,5801,Quilpué,162559.0,Total nacidos fuera del país,7623,4.69
5,Valparaíso,Marga Marga,5802,Limache,56145.0,Total nacidos fuera del país,1978,3.52
5,Valparaíso,Marga Marga,5803,Olmué,19778.0,Total nacidos fuera del país,636,3.22
5,Valparaíso,Marga Marga,5804,Villa Alemana,139571.0,Total nacidos fuera del país,4719,3.38
