Código Región,Nombre Región,Pertenencia al SNSS,Tipo Establecimiento (Unidad),Ámbito de Funcionamiento,Nombre Oficial,Dependencia Administrativa,Nivel de Atención,Código Comuna,Nombre Comuna,Tiene Servicio de Urgencia,Tipo de Urgencia ,Clasificación Tipo de SAPU,LATITUD [Grados decimales],LONGITUD [Grados decimales],Tipo de Prestador Sistema de Salud,Estado de Funcionamiento,Nivel de Complejidad,Tipo de Atención 
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital Comunitario Cristina Calderón de Puerto Williams,Servicio de Salud,Primario,12201,Cabo de Hornos,SI,Urgencia Hospitalaria (UEH),No Aplica,-54.93521,-67.60039,Público ,Vigente en operación habitual,Baja Complejidad,Atención Cerrada-Hospitalaria
12,Región De Magallanes y de la Antártica Chilena,No perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital Naval (Puerto Williams) ,Fuerzas Armadas y de Orden (FFAA),Terciario,12201,Cabo de Hornos,SI,Urgencia Hospitalaria (UEH),No Aplica,-54.934374,-67.608895,Fuerzas Armadas y de Orden,Vigente en operación habitual,Mediana Complejidad,Atención Cerrada-Hospitalaria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural Cameron,Municipal,Primario,12303,Timaukel,NO,No Aplica,No Aplica,-53.64055,-69.64585,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Posta de Salud Rural (PSR),Establecimiento de Salud,Posta de Salud Rural Agua Fresca,Municipal,Primario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.40424,-70.99016,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital Dr. Marco Antonio Chamorro (Porvenir),Servicio de Salud,Primario,12301,Porvenir,SI,Urgencia Hospitalaria (UEH),No Aplica,-53.29816,-70.35838,Público ,Vigente en operación habitual,Baja Complejidad,Atención Cerrada-Hospitalaria
8,Región Del Bíobío,No perteneciente al Sistema Nacional de Servicios de Salud,Clínica Dental,Establecimiento de Salud,UNO SALUD DENTAL LOS ÁNGELES 2,Privado,No Aplica,8301,Los Ángeles,No,No Aplica,No Aplica,-37.468505,-72.340387,Privado,Vigente en operación habitual,Mediana Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Centro Comunitario de Salud Familiar (CECOSF),Establecimiento de Salud,CECOSF FORTALECIENDO VIDAS,Municipal,Primario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.18041,-70.95141,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Centro Comunitario de Salud Mental  (COSAM),Unidad de Atención,COSAM Punta Arenas,Municipal,Secundario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.178248,-70.922132,Público ,Vigente en operación habitual,Mediana Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Establecimiento de Salud,SAR Dr. Juan Damianovic,Municipal,Primario,12101,Punta Arenas,SI,Urgencia ambulatoria (SAR),No Aplica,-53.174898,-70.938015,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
12,Región De Magallanes y de la Antártica Chilena,Perteneciente al Sistema Nacional de Servicios de Salud,Centro de Salud Familiar (CESFAM),Establecimiento de Salud,Centro de Salud Familiar Dr. Juan Damianovic,Municipal,Primario,12101,Punta Arenas,NO,No Aplica,No Aplica,-53.17495,-70.93796,Público ,Vigente en operación habitual,Baja Complejidad,Atención Abierta-Ambulatoria
