Mes,Ano,IdEstablecimiento,GrupoPrestacion,IdRegion,IdComuna,total_pacientes,total_migrantes
1,2024,101011,Consulta Medica,15,15101,62.0,0.0
1,2024,101030,Consulta Medica,15,15101,586.0,41.0
1,2024,101030,Consulta no Medica,15,15101,84.0,1.0
1,2024,101100,Consulta Medica,15,15101,586.0,41.0
1,2024,101100,Consulta no Medica,15,15101,84.0,1.0
1,2024,101300,Consulta Medica,15,15101,1745.0,157.0
1,2024,101300,Consulta no Medica,15,15101,823.0,27.0
1,2024,101302,Consulta Medica,15,15101,1005.0,108.0
1,2024,101302,Consulta no Medica,15,15101,800.0,87.0
1,2024,101303,Consulta Medica,15,15101,1626.0,241.0
1,2024,101303,Consulta no Medica,15,15101,1037.0,87.0
1,2024,101304,Consulta Medica,15,15201,268.0,4.0
1,2024,101304,Consulta no Medica,15,15201,37.0,6.0
1,2024,101305,Consulta Medica,15,15101,765.0,127.0
1,2024,101305,Consulta no Medica,15,15101,663.0,80.0
1,2024,101307,Consulta Medica,15,15101,1500.0,174.0
1,2024,101307,Consulta no Medica,15,15101,561.0,28.0
1,2024,101400,Consulta Medica,15,15101,426.0,154.0
1,2024,101400,Consulta no Medica,15,15101,304.0,70.0
1,2024,101401,Consulta Medica,15,15101,175.0,38.0
1,2024,101401,Consulta no Medica,15,15101,128.0,18.0
1,2024,101402,Consulta Medica,15,15201,6.0,0.0
1,2024,101402,Consulta no Medica,15,15201,2.0,1.0
1,2024,101404,Consulta Medica,15,15202,65.0,0.0
1,2024,101404,Consulta no Medica,15,15202,12.0,1.0
1,2024,101406,Consulta Medica,15,15102,45.0,9.0
1,2024,101406,Consulta no Medica,15,15102,97.0,19.0
1,2024,101407,Consulta Medica,15,15201,5.0,0.0
1,2024,101407,Consulta no Medica,15,15201,2.0,1.0
1,2024,101408,Consulta Medica,15,15101,166.0,75.0
1,2024,101408,Consulta no Medica,15,15101,180.0,54.0
1,2024,101702,Consulta Medica,15,15101,156.0,9.0
1,2024,101702,Consulta no Medica,15,15101,126.0,0.0
1,2024,101703,Consulta Medica,15,15101,236.0,62.0
1,2024,101703,Consulta no Medica,15,15101,160.0,49.0
1,2024,101704,Consulta Medica,15,15101,149.0,5.0
1,2024,101704,Consulta no Medica,15,15101,132.0,1.0
1,2024,102300,Consulta Medica,1,1101,2326.0,182.0
1,2024,102300,Consulta no Medica,1,1101,1930.0,697.0
1,2024,102301,Consulta Medica,1,1101,2792.0,352.0
1,2024,102301,Consulta no Medica,1,1101,1424.0,612.0
1,2024,102302,Consulta Medica,1,1101,1995.0,98.0
1,2024,102302,Consulta no Medica,1,1101,1209.0,254.0
1,2024,102303,Consulta Medica,1,1401,805.0,61.0
1,2024,102303,Consulta no Medica,1,1401,516.0,134.0
1,2024,102304,Consulta Medica,1,1405,422.0,38.0
1,2024,102304,Consulta no Medica,1,1405,383.0,78.0
1,2024,102305,Consulta Medica,1,1107,2143.0,469.0
1,2024,102305,Consulta no Medica,1,1107,1587.0,205.0
1,2024,102306,Consulta Medica,1,1101,1067.0,82.0
1,2024,102306,Consulta no Medica,1,1101,1115.0,234.0
1,2024,102307,Consulta Medica,1,1107,1708.0,0.0
1,2024,102307,Consulta no Medica,1,1107,1015.0,246.0
1,2024,102308,Consulta Medica,1,1404,224.0,36.0
1,2024,102308,Consulta no Medica,1,1404,189.0,71.0
1,2024,102309,Consulta Medica,1,1402,111.0,22.0
1,2024,102309,Consulta no Medica,1,1402,52.0,20.0
1,2024,102310,Consulta Medica,1,1403,19.0,0.0
1,2024,102310,Consulta no Medica,1,1403,48.0,26.0
1,2024,102403,Consulta Medica,1,1401,26.0,0.0
1,2024,102403,Consulta no Medica,1,1401,2.0,1.0
1,2024,102406,Consulta Medica,1,1401,164.0,7.0
1,2024,102406,Consulta no Medica,1,1401,81.0,7.0
1,2024,102407,Consulta Medica,1,1404,6.0,1.0
1,2024,102407,Consulta no Medica,1,1404,3.0,0.0
1,2024,102408,Consulta Medica,1,1402,65.0,2.0
1,2024,102408,Consulta no Medica,1,1402,22.0,3.0
1,2024,102409,Consulta Medica,1,1403,8.0,0.0
1,2024,102409,Consulta no Medica,1,1403,7.0,3.0
1,2024,102410,Consulta Medica,1,1404,2.0,1.0
1,2024,102412,Consulta Medica,1,1101,247.0,4.0
1,2024,102412,Consulta no Medica,1,1101,99.0,22.0
1,2024,102413,Consulta Medica,1,1101,115.0,2.0
1,2024,102413,Consulta no Medica,1,1101,40.0,10.0
1,2024,102414,Consulta no Medica,1,1401,14.0,8.0
1,2024,102415,Consulta Medica,1,1403,12.0,0.0
1,2024,102415,Consulta no Medica,1,1403,19.0,4.0
1,2024,102416,Consulta Medica,1,1405,24.0,0.0
1,2024,102416,Consulta no Medica,1,1405,8.0,1.0
1,2024,102701,Consulta Medica,1,1101,184.0,41.0
1,2024,102701,Consulta no Medica,1,1101,148.0,61.0
1,2024,102705,Consulta Medica,1,1107,359.0,59.0
1,2024,102705,Consulta no Medica,1,1107,470.0,234.0
1,2024,103011,Consulta no Medica,2,2101,19.0,0.0
1,2024,103030,Consulta Medica,2,2101,565.0,21.0
1,2024,103030,Consulta no Medica,2,2101,333.0,9.0
1,2024,103100,Consulta Medica,2,2101,565.0,21.0
1,2024,103100,Consulta no Medica,2,2101,438.0,33.0
1,2024,103102,Consulta Medica,2,2301,227.0,24.0
1,2024,103102,Consulta no Medica,2,2301,701.0,97.0
1,2024,103103,Consulta Medica,2,2104,641.0,37.0
1,2024,103103,Consulta no Medica,2,2104,389.0,44.0
1,2024,103104,Consulta Medica,2,2102,1227.0,401.0
1,2024,103104,Consulta no Medica,2,2102,551.0,170.0
1,2024,103300,Consulta Medica,2,2101,1037.0,104.0
1,2024,103300,Consulta no Medica,2,2101,1119.0,165.0
1,2024,103301,Consulta Medica,2,2101,1456.0,160.0
1,2024,103301,Consulta no Medica,2,2101,1285.0,320.0
1,2024,103302,Consulta Medica,2,2101,1302.0,203.0
1,2024,103302,Consulta no Medica,2,2101,909.0,282.0
