Código comuna,Comuna,promedio_pacientes,mediana_pacientes,promedio_migrantes,mediana_migrantes,porcentaje_migrantes_promedio
1101,Iquique,14768.083333333334,14951.5,2964.9166666666665,2950.5,20.08
1107,Alto Hospicio,9143.833333333334,9362.0,1372.9166666666667,1341.5,15.01
1401,Pozo Almonte,1738.1666666666667,1737.0,222.83333333333334,217.5,12.82
1402,Camiña,413.9166666666667,401.5,88.16666666666667,95.5,21.3
1403,Colchane,331.25,280.5,120.0,48.5,36.23
1404,Huara,476.9166666666667,495.5,110.16666666666667,108.5,23.1
1405,Pica,902.4166666666666,903.5,153.83333333333334,152.5,17.05
2101,Antofagasta,22050.166666666668,21252.0,3897.9166666666665,3990.0,17.68
2102,Mejillones,1765.0,1773.5,466.25,494.5,26.42
2103,Sierra Gorda,318.1666666666667,318.5,48.333333333333336,38.5,15.19
2104,Taltal,1015.9166666666666,1009.5,52.583333333333336,49.5,5.18
2201,Calama,8531.5,8576.5,1622.3333333333333,1606.5,19.02
2202,Ollagüe,30.75,29.5,0.08333333333333333,0.0,0.27
2203,San Pedro de Atacama,953.75,995.5,271.25,271.0,28.44
2301,Tocopilla,996.6666666666666,982.5,119.25,119.5,11.96
2302,María Elena,342.8333333333333,331.5,47.916666666666664,51.0,13.98
3101,Copiapó,10615.0,10520.0,521.9166666666666,515.5,4.92
3102,Caldera,1739.75,1769.0,4.333333333333333,4.0,0.25
3103,Tierra Amarilla,1933.6666666666667,1961.0,132.16666666666666,131.5,6.84
3201,Chañaral,1691.5,1682.5,2.0833333333333335,2.0,0.12
3202,Diego de Almagro,1477.3333333333333,1468.0,72.16666666666667,69.0,4.88
3301,Vallenar,3045.6666666666665,3090.5,63.833333333333336,71.0,2.1
3302,Alto del Carmen,325.3333333333333,345.5,0.08333333333333333,0.0,0.03
3303,Freirina,847.8333333333334,834.5,0.25,0.0,0.03
3304,Huasco,1669.0,1563.0,5.0,6.0,0.3
4101,La Serena,8997.333333333334,11062.0,179.08333333333334,202.5,1.99
4102,Coquimbo,18528.583333333332,19396.0,999.25,1016.5,5.39
4103,Andacollo,1315.4166666666667,1333.0,1.25,1.5,0.1
4104,La Higuera,504.4166666666667,534.5,0.4166666666666667,0.0,0.08
4105,Paiguano,400.4166666666667,407.5,2.6666666666666665,2.0,0.67
4106,Vicuña,2806.25,2759.5,58.416666666666664,53.5,2.08
4201,Illapel,3844.4166666666665,3831.5,43.25,46.0,1.13
4202,Canela,893.9166666666666,920.5,0.8333333333333334,0.0,0.09
4203,Los Vilos,3200.4166666666665,3132.0,54.333333333333336,49.5,1.7
4204,Salamanca,3253.0,3335.5,70.0,69.0,2.15
4301,Ovalle,9598.0,9877.5,77.08333333333333,81.0,0.8
4302,Combarbalá,1965.5833333333333,2026.0,3.0,2.0,0.15
4303,Monte Patria,2823.3333333333335,2861.5,5.75,5.0,0.2
4304,Punitaqui,1267.1666666666667,1314.5,8.0,6.5,0.63
4305,Río Hurtado,533.25,526.5,0.0,0.0,0.0
5101,Valparaíso,16580.166666666668,16871.5,637.5833333333334,599.0,3.85
5102,Casablanca,2150.9166666666665,1990.0,69.25,48.5,3.22
5103,Concón,3830.0833333333335,3788.0,165.16666666666666,87.0,4.31
5104,Juan Fernández,154.08333333333334,139.5,1.1666666666666667,1.0,0.76
5105,Puchuncaví,2428.3333333333335,2486.5,34.0,28.0,1.4
5107,Quintero,3165.8333333333335,3169.0,31.583333333333332,32.0,1.0
5109,Viña del Mar,16700.0,16270.0,318.5833333333333,107.0,1.91
5201,Isla de Pascua,453.4166666666667,442.0,18.666666666666668,18.5,4.12
5301,Los Andes,5144.25,5258.0,10.416666666666666,9.0,0.2
5302,Calle Larga,1883.25,1959.5,25.916666666666668,25.0,1.38
5303,Rinconada,2040.0833333333333,2097.5,5.333333333333333,3.5,0.26
5304,San Esteban,2418.5,2376.0,1.6666666666666667,0.5,0.07
5401,La Ligua,3769.8333333333335,3692.0,65.5,53.5,1.74
5402,Cabildo,1730.25,1714.5,7.166666666666667,8.5,0.41
5403,Papudo,1136.9166666666667,1152.5,31.0,28.5,2.73
5404,Petorca,1858.0833333333333,1893.5,11.166666666666666,9.5,0.6
5405,Zapallar,1041.8333333333333,1057.0,17.416666666666668,17.0,1.67
5501,Quillota,11159.083333333334,11017.5,284.1666666666667,162.5,2.55
5502,Calera,7687.416666666667,7806.0,116.33333333333333,39.0,1.51
5503,Hijuelas,3087.9166666666665,3006.0,63.0,49.0,2.04
5504,La Cruz,2269.5833333333335,2347.5,30.916666666666668,31.5,1.36
5506,Nogales,2704.75,2876.0,17.166666666666668,3.5,0.63
5601,San Antonio,6523.25,6591.5,98.66666666666667,87.5,1.51
5602,Algarrobo,1153.0833333333333,1152.0,5.833333333333333,5.0,0.51
5603,Cartagena,1523.8333333333333,1526.0,30.25,29.5,1.99
5604,El Quisco,1092.5,1150.0,20.0,20.0,1.83
5605,El Tabo,1021.25,1008.5,2.0,1.0,0.2
5606,Santo Domingo,844.4166666666666,838.5,4.166666666666667,4.0,0.49
5701,San Felipe,7322.833333333333,7515.0,12.0,10.5,0.16
5702,Catemu,2241.9166666666665,2161.0,1.25,1.0,0.06
5703,Llaillay,1555.8333333333333,1470.5,5.083333333333333,1.0,0.33
5704,Panquehue,1889.0833333333333,1909.0,1.5833333333333333,1.0,0.08
5705,Putaendo,2998.75,3164.5,2.0,1.0,0.07
5706,Santa María,1722.8333333333333,1747.5,5.5,4.5,0.32
5801,Quilpué,10546.916666666666,10479.5,155.33333333333334,96.0,1.47
5802,Limache,6004.5,5924.5,45.5,41.5,0.76
5803,Olmué,923.5833333333334,892.0,11.583333333333334,12.0,1.25
5804,Villa Alemana,10945.833333333334,10982.5,110.0,107.5,1.0
6101,Rancagua,19805.666666666668,19761.0,663.9166666666666,447.0,3.35
6102,Codegua,1788.5833333333333,1764.5,40.916666666666664,37.0,2.29
6103,Coinco,470.75,422.0,0.6666666666666666,1.0,0.14
6104,Coltauco,2761.6666666666665,2849.5,55.166666666666664,53.5,2.0
6105,Doñihue,2913.9166666666665,2911.5,17.833333333333332,15.0,0.61
6106,Graneros,1404.1666666666667,1441.0,72.33333333333333,70.0,5.15
6107,Las Cabras,3445.25,3336.0,71.83333333333333,73.0,2.08
6108,Machalí,3699.3333333333335,3827.0,22.916666666666668,23.0,0.62
6109,Malloa,1699.5833333333333,1676.5,17.333333333333332,16.5,1.02
6110,Mostazal,3977.1666666666665,3992.5,8.75,8.5,0.22
6111,Olivar,1291.0,1281.0,22.25,21.5,1.72
6112,Peumo,1426.8333333333333,1460.0,3.5833333333333335,3.5,0.25
6113,Pichidegua,2463.5833333333335,2556.0,29.583333333333332,26.0,1.2
6114,Quinta de Tilcoco,1573.1666666666667,1561.5,53.083333333333336,51.5,3.37
6115,Rengo,4184.333333333333,4230.5,98.5,92.0,2.35
6116,Requínoa,3423.0,3382.0,66.83333333333333,63.5,1.95
6117,San Vicente,3388.6666666666665,3261.0,31.833333333333332,28.0,0.94
6201,Pichilemu,1496.5833333333333,1474.0,41.833333333333336,40.0,2.8
6202,La Estrella,479.75,465.0,4.916666666666667,4.0,1.02
6203,Litueche,753.25,744.5,25.166666666666668,23.5,3.34
6204,Marchihue,629.1666666666666,619.5,6.25,7.0,0.99
6205,Navidad,851.6666666666666,812.5,1.75,1.5,0.21
6206,Paredones,581.8333333333334,552.0,0.5833333333333334,0.5,0.1
6301,San Fernando,5664.333333333333,5523.0,128.33333333333334,140.0,2.27
6302,Chépica,1150.6666666666667,1135.5,20.75,20.0,1.8
6303,Chimbarongo,2631.4166666666665,2590.0,14.75,14.0,0.56
6304,Lolol,998.5,1022.5,10.25,8.5,1.03
6305,Nancagua,1840.9166666666667,1894.0,74.66666666666667,79.0,4.06
6306,Palmilla,1157.0833333333333,1156.0,6.416666666666667,7.0,0.55
6307,Peralillo,1732.4166666666667,1727.0,10.25,11.0,0.59
6308,Placilla,1009.1666666666666,1009.5,53.916666666666664,52.0,5.34
6309,Pumanque,413.25,408.0,13.583333333333334,14.5,3.29
6310,Santa Cruz,5238.0,5119.0,245.75,211.0,4.69
7101,Talca,26444.583333333332,26309.0,513.1666666666666,533.5,1.94
7102,Constitución,6158.666666666667,6203.0,55.333333333333336,57.0,0.9
7103,Curepto,972.8333333333334,929.5,3.75,3.5,0.39
7104,Empedrado,584.25,571.0,1.0,1.0,0.17
7105,Maule,3813.1666666666665,3922.5,65.16666666666667,63.5,1.71
7106,Pelarco,1306.1666666666667,1216.0,5.5,5.0,0.42
7107,Pencahue,862.4166666666666,841.0,8.916666666666666,8.0,1.03
7108,Río Claro,1430.5833333333333,1467.0,2.5833333333333335,1.5,0.18
7109,San Clemente,4433.916666666667,4373.5,29.666666666666668,29.5,0.67
7110,San Rafael,1134.8333333333333,1143.5,8.75,7.5,0.77
7201,Cauquenes,4134.583333333333,4139.0,14.0,12.5,0.34
7202,Chanco,986.75,977.0,11.083333333333334,10.0,1.12
7203,Pelluhue,1242.5833333333333,1230.0,6.5,7.0,0.52
7301,Curicó,14756.0,15040.0,518.4166666666666,522.5,3.51
7302,Hualañé,1649.1666666666667,1641.5,13.166666666666666,11.5,0.8
7303,Licantén,951.6666666666666,908.5,9.583333333333334,9.0,1.01
7304,Molina,5952.416666666667,5747.5,66.5,65.5,1.12
7305,Rauco,1080.3333333333333,1158.0,9.416666666666666,8.0,0.87
7306,Romeral,1989.3333333333333,2007.5,27.833333333333332,28.0,1.4
7307,Sagrada Familia,1868.4166666666667,1796.0,22.666666666666668,19.0,1.21
7308,Teno,3252.5833333333335,3151.5,23.583333333333332,21.5,0.73
7309,Vichuquén,393.75,397.5,7.583333333333333,6.5,1.93
7401,Linares,8063.583333333333,8383.0,58.416666666666664,56.5,0.72
7402,Colbún,3029.0833333333335,3100.0,16.083333333333332,12.5,0.53
